,cluster,supercluster,subtype
0,6,0,H1
1,15,0,H1
2,14,0,H1
3,5,0,H1
4,3,0,H1
5,1,1,H1
6,0,2,H2
7,33,3,H3
8,38,3,H3
9,49,3,H3
10,50,3,H3
11,52,3,H3
12,51,3,H3
13,46,3,H3
14,44,3,H3
15,32,3,H3
16,31,3,H3
17,27,3,H3
18,26,3,H3
19,4,4,H3
20,36,5,H4
21,35,5,H4
22,34,6,H4
23,8,7,H5
24,11,7,H5
25,10,7,H5
26,7,7,H5
27,17,8,H6
28,16,8,H6
29,30,9,H7
30,29,9,H7
31,25,9,H7
32,23,10,H7
33,22,10,H7
34,42,11,H8
35,28,12,H9
36,21,13,H10
37,20,13,H10
38,19,13,H10
39,18,13,H10
40,9,14,H11
41,13,14,H11
42,12,14,H11
43,37,15,H12
44,41,16,H12
45,48,17,H13
46,47,17,H13
47,40,18,H14
48,39,18,H14
49,24,19,H15
50,43,20,H16
51,2,21,mixed
52,45,22,mixed
