segment,cluster,size
6,43,21897
4,37,18572
4,6,12298
6,7,12229
4,8,2614
4,3,2581
4,52,2320
6,24,2265
6,36,1888
6,18,1877
6,22,1603
4,28,1569
4,33,1436
6,8,1389
6,14,1355
6,9,1325
4,13,1304
4,27,1287
4,24,1248
6,16,1143
6,23,1020
6,4,979
4,15,935
4,19,900
6,35,846
4,2,835
4,36,802
4,4,783
6,20,733
6,28,709
6,27,659
4,45,624
6,13,607
4,7,600
4,1,537
4,0,537
4,11,527
4,31,500
6,12,434
4,17,400
6,5,376
6,0,341
6,6,322
4,47,320
4,34,307
6,2,265
4,44,264
6,33,248
4,12,207
4,23,205
4,22,155
6,26,142
4,30,141
6,11,141
4,42,140
6,42,87
4,43,72
4,49,63
6,17,42
4,39,31
4,41,24
6,10,19
6,38,19
4,35,17
6,21,17
4,20,14
4,10,14
4,18,14
6,25,13
6,19,13
6,32,12
6,31,10
6,-1,9
4,16,9
4,25,9
4,5,8
6,15,8
6,34,8
6,29,6
4,-1,6
4,32,6
4,50,6
4,46,6
4,48,5
4,14,5
4,9,4
4,26,4
6,3,4
4,51,4
4,38,3
6,1,3
4,40,3
4,21,3
6,30,3
6,39,3
4,29,3
6,37,2
6,40,2
6,41,2
