segment,cluster,size
4,38,14034
1,-1,13548
2,-1,13457
3,-1,13017
4,6,12298
6,-1,12065
5,-1,11478
8,-1,9794
7,-1,8753
4,30,4538
4,8,2614
4,3,2581
4,49,2326
4,27,1569
4,34,1436
4,14,1304
4,26,1287
4,23,1248
8,8722,948
4,16,935
7,5834,924
4,19,900
4,2,835
7,8255,834
4,37,802
4,4,783
8,8860,749
7,8512,703
4,45,624
4,7,600
4,0,537
4,1,537
4,12,527
7,8863,511
4,32,500
7,8859,423
4,11,409
8,8905,407
7,5526,401
8,5196,399
8,9186,370
7,8266,362
6,10741,346
4,41,326
4,35,307
2,11044,274
7,8103,266
7,8046,264
4,44,264
5,8989,262
6,8324,262
8,7537,260
5,8021,259
8,6242,252
7,8069,252
5,10206,251
3,10981,251
3,11121,249
7,6596,249
2,11447,247
1,11147,244
5,10704,237
5,10246,236
5,9528,233
7,7479,230
6,11137,223
6,10651,214
8,3289,212
6,9602,210
5,10633,210
8,9043,210
8,4429,209
4,13,207
4,22,205
7,7110,202
5,5740,199
5,10203,199
6,11118,194
8,8373,182
1,10755,182
7,6074,180
8,8385,178
7,7955,176
2,10505,175
8,4803,173
5,9696,172
6,10678,169
8,7974,167
3,10814,165
2,11546,164
2,11110,162
1,8852,161
3,11518,160
7,8490,160
8,1474,159
4,21,155
2,11593,154
8,5018,153
7,8493,151
7,6964,147
1,11175,146
7,7860,146
7,7766,146
8,6319,144
7,3299,143
8,5060,142
4,29,141
6,10162,140
4,40,140
8,5681,138
6,7456,137
8,4846,137
8,5113,131
8,8365,130
7,6809,128
6,6531,124
8,8352,124
7,5835,120
5,8800,120
7,5656,120
3,8713,118
5,8474,116
8,1324,113
8,6929,113
3,11429,112
8,8165,107
7,1395,106
8,6916,106
8,5094,105
8,9090,105
3,10178,104
7,445,103
7,7428,103
5,10681,101
7,8039,101
7,7289,97
8,8573,97
8,3792,97
3,10780,96
5,8020,94
8,8032,94
7,3836,93
7,7818,91
5,8889,91
7,4959,90
7,5890,90
7,2124,89
7,4102,88
2,8701,87
7,2684,87
5,10174,87
8,6979,86
7,6255,86
7,7905,85
1,10170,85
8,6611,85
7,7193,85
8,8939,84
6,10570,82
1,11595,81
2,10788,81
3,8851,81
8,8013,81
3,8867,80
7,4178,80
2,11087,79
3,10365,79
7,3422,77
5,9587,77
7,6952,77
1,11105,77
8,517,75
7,3986,74
7,2344,74
8,7962,74
7,7849,74
1,7427,73
8,2662,72
5,8338,72
7,8689,72
4,43,72
8,8225,72
7,7053,71
8,7389,70
7,8343,70
5,1180,69
1,11591,69
8,8832,69
5,10229,69
5,8818,68
2,11586,68
5,6415,68
8,1482,67
2,5360,67
5,5035,67
7,8363,67
7,7679,67
1,11555,66
6,10415,65
7,7939,65
5,7686,65
8,9181,64
7,5423,64
3,7059,63
4,47,63
7,1238,63
1,10597,63
2,9958,63
5,8164,62
8,6026,62
8,4229,62
6,10887,62
8,8070,62
8,7540,62
7,2896,62
3,10136,61
7,3990,61
7,7097,61
2,9686,61
8,4051,61
3,8797,60
7,6271,60
8,7021,60
7,8753,60
5,10578,59
6,5597,59
8,5697,59
6,10401,59
7,8298,59
6,10129,58
5,5791,58
7,7762,58
7,8611,58
6,694,57
5,7633,57
8,3019,57
5,7877,57
5,7819,57
7,4694,56
7,5378,56
3,7206,56
7,3353,56
3,9615,56
8,5159,56
7,3959,56
6,5719,55
3,10770,55
7,6276,55
8,6866,55
8,6560,55
3,4839,54
5,7060,54
3,8464,54
7,1396,53
7,7307,53
7,4687,53
5,3090,53
5,9634,53
5,9062,53
2,10116,53
7,3594,53
5,3438,52
3,10064,52
7,6444,52
6,9908,52
7,6900,52
6,11115,52
5,2753,52
5,4141,52
8,4658,51
6,5469,51
3,11512,51
5,8415,51
8,363,51
5,10545,51
1,1664,51
3,7130,51
8,3671,51
7,3249,51
7,4887,50
7,7707,50
1,8269,50
6,5952,50
6,10172,50
2,6203,50
6,6226,50
8,5483,50
8,4390,49
2,4976,49
5,4172,49
8,5615,49
2,7723,49
6,7643,49
5,9658,49
7,5388,49
1,7070,49
8,3373,49
5,10346,48
7,5725,48
7,4413,48
7,2304,48
7,7503,48
7,5529,48
1,4550,48
3,8988,48
8,8195,48
8,2739,48
5,9889,48
7,7020,47
8,3690,47
8,9016,47
6,7167,47
7,3406,47
7,7601,47
3,10230,47
7,7284,46
6,1995,46
7,4013,46
7,1079,46
5,1485,46
5,7647,46
6,4605,46
3,5196,45
6,2880,45
8,8914,45
8,7521,45
8,5467,45
5,7899,45
5,8378,45
5,420,45
8,4217,45
6,5447,45
3,5544,45
2,6764,45
1,6222,44
1,9102,44
8,5518,44
6,9931,44
7,640,44
6,6665,44
7,5807,44
5,4043,44
6,5394,44
2,8506,44
7,6671,44
8,3061,44
5,8832,44
6,7635,44
1,10297,44
2,8859,44
6,11101,43
8,8244,43
8,7632,43
5,250,43
7,6983,43
8,5390,43
1,10232,43
6,8896,43
8,4867,43
7,5921,43
8,7256,43
6,4051,43
7,5042,42
5,9236,42
7,5052,42
6,5876,42
7,6458,42
2,11450,42
3,10793,42
7,7904,42
7,7434,42
3,8124,42
1,5554,42
2,6406,41
2,8902,41
7,4356,41
7,7131,41
2,10452,41
8,8340,41
5,7973,41
