accession,H9,
>CY125733,0.16081229418221735,0.4734357848518112
>KP286620,0.08726673984632272,0.4826564215148189
>KP286635,0.08748627881448959,0.4827661909989023
>CY206227,0.1607025246981339,0.47618002195389686
>MG042357,0.1693743139407245,0.4873765093304062
>MG957616,0.1716794731064764,0.48551042810098793
>MG957513,0.16970362239297476,0.48638858397365536
>MG957519,0.167178924259056,0.4881448957189901
>MH791733,0.16103183315038422,0.4828759604829857
>MN209446,0.1650933040614709,0.48452250274423714
>MN209378,0.16564215148188804,0.48529088913282104
>KP416339,0.08660812294182216,0.4818880351262349
>KP416375,0.08693743139407244,0.4819978046103183
>KP416404,0.08660812294182216,0.4818880351262349
>KP415847,0.08671789242590558,0.4828759604829857
>KP416464,0.08825466520307357,0.48232711306256865
>KP415453,0.09143798024149286,0.4799121844127333
>KP286584,0.08474204171240393,0.4818880351262349
>KP414685,0.09088913282107576,0.48254665203073543
>KP415520,0.08770581778265643,0.48210757409440175
>KP416048,0.08825466520307353,0.48243688254665196
>KP416061,0.087596048298573,0.4822173435784852
>KP415548,0.087596048298573,0.4822173435784852
>KP287644,0.09099890230515917,0.48133918770581785
>KP287058,0.0916575192096597,0.4805708013172338
>KP286677,0.09088913282107573,0.4806805708013172
>KP287339,0.09231613611416026,0.48243688254665196
>KP287351,0.09088913282107573,0.48133918770581785
>KP287363,0.09088913282107576,0.4799121844127333
>KP414081,0.08232711306256857,0.48342480790340286
>KP287385,0.09308452250274424,0.48111964873765095
>KP287397,0.09099890230515917,0.48133918770581785
>KP287409,0.09088913282107576,0.4802414928649835
>KP286703,0.09066959385290889,0.48166849615806806
>KP286714,0.09330406147091108,0.4829857299670691
>KP286725,0.09198682766190999,0.48210757409440175
>KP287655,0.09045005488474205,0.4812294182217344
>KP287572,0.08836443468715698,0.48232711306256865
>KP418103,0.09045005488474205,0.479582875960483
>KP418123,0.09066959385290892,0.4790340285400658
>KP418142,0.08990120746432491,0.4800219538968166
>KP418272,0.08935236004390781,0.4815587266739847
>KP418305,0.08770581778265643,0.48232711306256865
>KP418331,0.08869374313940728,0.4819978046103183
>KP418398,0.08814489571899012,0.48166849615806806
>KP418414,0.08869374313940728,0.4819978046103183
>KP418427,0.08869374313940721,0.48166849615806806
>KP418469,0.08814489571899012,0.48166849615806806
>KP418496,0.08891328210757407,0.48232711306256865
>KP286490,0.08342480790340286,0.4829857299670691
>KP418525,0.08726673984632272,0.48166849615806806
>KP418538,0.08880351262349066,0.4807903402854007
>KP287103,0.08430296377607024,0.48463227222832056
>KP286747,0.08913282107574094,0.4838638858397365
>KP287111,0.0861690450054885,0.4826564215148189
>KP286657,0.08507135016465424,0.48551042810098793
>KP415399,0.09045005488474205,0.4812294182217344
>KP415409,0.09045005488474205,0.4812294182217344
>KP286758,0.09099890230515917,0.48133918770581785
>KP416671,0.09001097694840836,0.4812294182217344
>KP416680,0.09143798024149288,0.48177826564215154
>KP286769,0.09045005488474205,0.4812294182217344
>KP285469,0.09077936333699232,0.48144895718990116
>KP286781,0.09055982436882548,0.4809001097694841
>KP287130,0.09154774972557629,0.48133918770581785
>KP286791,0.09099890230515917,0.48133918770581785
>KP287143,0.0911086717892426,0.48100987925356753
>KP287155,0.09121844127332601,0.4807903402854007
>KP286803,0.09088913282107573,0.4812294182217344
>KP287674,0.09012074643249177,0.4807903402854007
>KP287167,0.09055982436882545,0.4806805708013172
>KP287179,0.09045005488474205,0.4812294182217344
>KP287440,0.09055982436882545,0.4806805708013172
>KP287452,0.09055982436882545,0.4806805708013172
>KP286829,0.08342480790340286,0.48441273326015366
>KP287192,0.0814489571899012,0.484742041712404
>KP287191,0.0814489571899012,0.484742041712404
>KP415235,0.08682766190998903,0.4827661909989023
>KP418192,0.09034028540065861,0.4807903402854006
>KP415303,0.08594950603732163,0.48144895718990116
>KP413223,0.08726673984632272,0.4815587266739847
>KP417175,0.08836443468715698,0.4830954994511526
>KP417185,0.08781558726673985,0.4828759604829857
>MK964323,0.13468715697036224,0.47815587266739856
>MK964364,0.08419319429198684,0.48210757409440175
>MK964381,0.08419319429198684,0.48210757409440175
>MK964398,0.1347969264544457,0.47782656421514813
>MK964479,0.0867178924259056,0.48166849615806806
>KP415331,0.08869374313940723,0.4828759604829857
>KP415357,0.08803512623490668,0.4819978046103183
>KP415207,0.08968166849615807,0.48232711306256865
>KP415206,0.08737650933040612,0.4830954994511526
>MG042158,0.1693743139407245,0.4873765093304062
>MG957586,0.16937431394072447,0.4867178924259056
>KP287483,0.09045005488474205,0.4812294182217344
>MK964625,0.0840834248079034,0.4815587266739847
>MK995761,0.148847420417124,0.4908891328210757
>MG599734,0.16630076838638858,0.4822173435784852
>MG599736,0.1721185510428101,0.48331503841931944
>CY194165,0.1509330406147091,0.47705817782656423
>MK943511,0.09484083424807903,0.4815587266739847
>MG957618,0.16937431394072447,0.4867178924259056
>CY126483,0.1890230515916575,0.4787047200878156
>MH597117,0.15773874862788145,0.4807903402854007
>MH597136,0.15686059275521408,0.4806805708013172
>MH597146,0.15773874862788145,0.47980241492864983
>MH597203,0.15784851811196488,0.4802414928649835
>CY144473,0.15718990120746432,0.48013172338090004
>CY144464,0.1585071350164654,0.48035126234906694
>MH597616,0.15708013172338092,0.48046103183315036
>KP416485,0.09121844127332604,0.47925356750823267
>KP415559,0.08924259055982439,0.4806805708013172
>KP415571,0.09242590559824368,0.48199780461031844
>KP415591,0.08924259055982439,0.4806805708013172
>KP414251,0.08913282107574094,0.4805708013172339
