serotype,,H1,H1,H1,H1,H1,H10,H10,H10,H10,H10,error
accession,,>CY166306,>KF424130,>CY140277,>CY138753,>CY134399,>CY241552,>CY120691,>CY183726,>CY204682,>KP285669,>MK237334
serotype,accession,,,,,,,,,,,
H1,>CY166306,0.0,0.06316377864728895,0.017328116266070448,0.019005030743432072,0.019005030743432072,0.47233091112353265,0.4712129681386249,0.4829513694801565,0.46785913918390165,0.4823923979877026,0.032420346562325286
H1,>KF424130,0.06316377864728895,0.0,0.060368921185019575,0.06260480715483507,0.06372275013974282,0.4645053102291783,0.46338736724427054,0.470653996646171,0.46115148127445504,0.4639463387367244,0.08384572386808276
H1,>CY140277,0.017328116266070448,0.060368921185019575,0.0,0.015092230296254838,0.0162101732811627,0.4712129681386249,0.47009502515371715,0.485746226942426,0.46785913918390165,0.4891000558971492,0.04192286193404138
H1,>CY138753,0.019005030743432072,0.06260480715483507,0.015092230296254838,0.0,0.016769144773616573,0.4695360536612633,0.4673001676914478,0.47903856903297937,0.4661822247065399,0.4829513694801565,0.043599776411403
H1,>CY134399,0.019005030743432072,0.06372275013974282,0.0162101732811627,0.016769144773616573,0.0,0.4740078256008944,0.4740078256008944,0.48351034097261036,0.470653996646171,0.48854108440469535,0.04304080491894913
H10,>CY241552,0.47233091112353265,0.4645053102291783,0.4712129681386249,0.4695360536612633,0.4740078256008944,0.0,0.028507546115148164,0.18334264952487422,0.02124091671324757,0.17998882057015098,0.4846282839575181
H10,>CY120691,0.4712129681386249,0.46338736724427054,0.47009502515371715,0.4673001676914478,0.4740078256008944,0.028507546115148164,0.0,0.17887087758524312,0.025153717160424804,0.18054779206260485,0.4829513694801565
H10,>CY183726,0.4829513694801565,0.470653996646171,0.485746226942426,0.47903856903297937,0.48351034097261036,0.18334264952487422,0.17887087758524312,0.0,0.17998882057015098,0.07266629401900504,0.4969256567915036
H10,>CY204682,0.46785913918390165,0.46115148127445504,0.46785913918390165,0.4661822247065399,0.470653996646171,0.02124091671324757,0.025153717160424804,0.17998882057015098,0.0,0.17831190609278924,0.47959754052543324
H10,>KP285669,0.4823923979877026,0.4639463387367244,0.4891000558971492,0.4829513694801565,0.48854108440469535,0.17998882057015098,0.18054779206260485,0.07266629401900504,0.17831190609278924,0.0,0.49748462828395756
error,>MK237334,0.032420346562325286,0.08384572386808276,0.04192286193404138,0.043599776411403,0.04304080491894913,0.4846282839575181,0.4829513694801565,0.4969256567915036,0.47959754052543324,0.49748462828395756,0.0
