segment,parent,left_child,right_child,distance,size
1,55436,34852.0,34832.0,0.0,2.0
1,55437,28463.0,37068.0,0.0,2.0
1,55438,28461.0,34999.0,0.0,2.0
1,55439,28460.0,55438.0,0.0,3.0
1,55440,28459.0,55439.0,0.0,4.0
1,55441,28458.0,55440.0,0.0,5.0
1,55442,28457.0,55441.0,0.0,6.0
1,55443,28456.0,55442.0,0.0,7.0
1,55444,28454.0,37216.0,0.0,2.0
1,55445,28452.0,28453.0,0.0,2.0
1,55446,28466.0,54541.0,0.0,2.0
1,55447,28450.0,28451.0,0.0,2.0
1,55448,28444.0,28443.0,0.0,2.0
1,55449,28441.0,28442.0,0.0,2.0
1,55450,28440.0,28439.0,0.0,2.0
1,55451,28438.0,20192.0,0.0,2.0
1,55452,28437.0,55451.0,0.0,3.0
1,55453,28436.0,20213.0,0.0,2.0
1,55454,28435.0,27128.0,0.0,2.0
1,55455,28434.0,55454.0,0.0,3.0
