segment,epsilon,DBCV
4,0.0,0.4185357633036008
4,0.1,0.2342766949485923
4,0.2,0.5424439493436685
4,0.3,0.4880593853779649
4,0.4,0.3446373615274304
4,0.11,0.2436408673297732
4,0.12,0.2641486083828888
4,0.13,0.2857068713349608
4,0.14,0.1660402477974144
4,0.15,0.379842197570093
4,0.16,0.5190955523044885
4,0.17,0.5358817894485334
4,0.18,0.5395380755672156
4,0.19,0.5355611418914891
4,0.2,0.5424439493436685
4,0.21,0.5573911812135682
4,0.22,0.4763902545822367
4,0.23,0.476483854825803
4,0.201,0.5424439493436685
4,0.202,0.5424439493436685
