segment,cluster,size
6,39,22328
2,21,22285
7,1,20471
5,5,20432
4,55,20419
8,6,20397
1,1,20263
3,4,20194
8,10,17207
7,15,15993
5,2,14078
3,10,13878
1,8,12911
2,0,12738
3,28,12683
1,12,12400
4,17,12298
6,16,12229
2,9,9011
5,19,8367
7,21,8283
8,21,5813
2,25,5431
8,23,5022
1,19,3968
5,15,3671
1,27,3545
3,14,3484
8,1,3332
6,29,3285
5,7,3025
3,15,3007
5,26,2958
7,31,2924
4,19,2614
4,6,2581
6,31,2544
7,17,2340
7,28,2270
8,13,2047
2,18,1933
6,14,1877
6,21,1603
4,15,1569
4,38,1436
6,12,1389
6,15,1355
6,0,1325
4,16,1305
4,50,1276
5,25,1205
7,3,1113
2,4,1102
6,7,979
4,44,935
4,46,900
4,21,852
6,35,819
4,23,802
4,12,783
6,19,733
6,24,709
4,0,704
7,7,696
5,10,682
6,25,659
2,17,634
3,17,634
1,23,618
6,11,607
2,19,601
4,11,600
1,22,568
7,26,560
8,0,546
4,4,537
4,26,527
4,36,500
2,8,485
4,27,479
8,17,449
1,26,446
4,53,438
7,14,435
6,3,434
4,39,409
4,20,396
3,0,386
6,8,376
3,16,333
4,33,326
6,34,324
6,10,322
4,29,307
4,2,287
2,6,278
2,7,274
6,5,265
6,26,260
4,3,250
3,3,244
1,3,237
4,1,207
4,14,205
5,21,205
2,22,202
5,24,190
5,0,180
6,9,174
4,8,172
8,8,171
8,4,163
5,18,156
4,31,155
4,41,153
5,1,151
3,5,148
2,2,147
1,4,147
8,11,145
7,12,144
6,6,142
4,10,141
6,2,141
4,25,140
4,5,131
3,2,112
7,11,101
1,0,99
4,34,97
3,8,83
7,25,82
2,14,79
4,32,72
4,51,63
1,15,59
5,23,56
8,18,55
1,9,47
8,12,46
3,22,43
6,28,42
8,22,37
5,3,35
8,7,35
4,35,34
7,23,33
1,-1,32
3,-1,29
7,-1,27
7,5,27
8,3,25
5,16,25
5,9,25
8,-1,24
4,28,24
2,-1,23
3,25,21
5,20,21
2,13,19
1,25,19
6,37,19
6,22,19
7,20,18
4,22,17
5,-1,17
6,20,17
6,-1,17
4,49,15
4,18,14
4,47,14
4,40,14
4,45,14
6,18,13
6,13,13
4,52,12
7,30,12
5,17,11
7,0,11
1,17,11
7,9,11
6,17,11
7,16,11
6,32,10
5,4,10
4,48,9
5,11,8
8,14,8
1,2,8
2,24,8
1,13,8
1,20,8
5,13,8
7,8,8
6,27,8
4,7,8
3,19,8
5,12,8
8,19,8
3,27,8
5,14,8
8,9,7
3,18,7
4,-1,7
3,7,7
7,2,7
7,18,7
8,2,7
2,10,6
4,37,6
2,12,6
7,19,6
2,20,6
1,7,6
6,33,6
8,16,6
1,24,6
2,23,5
7,10,5
7,27,5
4,42,5
3,20,5
4,43,5
1,14,5
3,23,5
8,15,5
1,6,4
6,1,4
5,22,4
4,54,4
4,13,4
6,30,4
2,1,4
2,3,4
8,5,4
8,20,4
7,6,4
3,24,4
3,6,4
1,16,4
1,21,4
1,10,4
3,11,4
7,13,4
6,38,4
1,11,3
1,18,3
1,5,3
4,30,3
5,6,3
7,29,3
4,24,3
6,4,3
4,9,3
3,26,3
3,21,3
6,23,3
3,13,3
3,12,3
3,9,3
3,1,3
7,4,3
2,16,3
2,11,3
7,22,3
2,5,3
7,24,3
6,36,3
2,15,2
3,29,2
5,8,2
