segment,cluster,size
7,307,2872
8,331,2257
8,72,2068
3,4,1942
4,128,1903
7,407,1605
2,26,1569
5,300,1543
8,321,1540
6,0,1538
3,25,1526
8,25,1499
3,191,1495
2,204,1417
6,249,1396
2,50,1394
3,111,1382
5,11,1358
3,275,1353
2,212,1352
7,202,1337
2,67,1329
2,216,1288
7,413,1275
5,269,1249
5,128,1249
1,10,1222
7,354,1213
4,49,1202
7,185,1191
8,42,1180
7,37,1157
1,6,1143
2,177,1116
8,203,1114
6,84,1108
2,220,1098
8,104,1097
4,270,1061
5,59,1060
2,242,1044
1,87,1042
7,308,1042
3,142,1015
2,246,996
1,267,989
5,263,961
8,164,957
3,14,946
8,79,939
8,277,935
6,214,932
5,279,927
6,43,916
1,26,915
2,39,913
6,121,912
1,153,906
1,61,901
6,233,879
5,35,862
8,165,862
1,256,859
2,224,858
5,178,850
1,32,849
7,107,849
1,2,848
3,282,843
5,4,822
7,397,821
6,256,817
4,239,817
2,163,814
8,326,811
1,102,805
3,298,791
4,271,787
5,10,786
4,161,777
2,168,773
7,317,769
1,215,763
8,188,757
2,240,756
6,162,755
4,292,752
1,163,744
6,246,744
3,229,742
6,37,739
5,111,738
4,53,737
8,244,737
3,237,736
2,243,736
2,237,722
1,89,720
8,248,718
5,1,715
1,81,714
7,263,714
6,228,711
8,327,706
8,1,705
2,32,703
5,281,701
4,127,699
2,37,697
7,396,688
5,227,684
4,36,684
3,219,677
1,75,677
6,224,675
1,189,670
4,165,666
5,190,659
7,374,658
1,252,658
1,22,658
1,262,657
1,152,652
8,325,650
2,190,650
2,172,640
6,147,635
6,13,635
8,5,635
5,188,629
2,125,624
1,198,623
6,150,621
5,105,617
7,405,612
1,97,610
7,314,609
7,351,609
1,175,606
7,402,605
5,100,605
6,140,604
8,229,601
6,131,601
3,109,600
2,42,599
7,369,598
8,237,596
6,235,596
8,247,594
5,229,593
6,198,593
1,193,585
5,293,582
6,248,581
4,202,577
8,111,577
3,273,574
5,196,569
7,250,568
2,134,567
5,230,565
7,208,562
4,282,560
1,210,559
1,249,558
5,200,558
6,232,555
6,185,554
4,31,553
4,130,553
2,59,550
1,229,546
8,285,542
3,152,541
3,11,538
4,231,537
6,86,534
6,17,529
4,235,528
6,107,527
8,151,526
7,14,524
5,54,523
5,99,522
6,204,520
3,7,520
4,120,519
4,253,519
2,140,519
6,211,518
1,3,518
7,335,518
2,124,517
6,182,515
4,2,515
1,147,512
6,216,512
3,84,512
6,125,511
7,123,509
2,180,507
5,63,506
8,234,502
4,58,502
4,248,500
3,207,500
4,38,499
3,257,499
1,240,497
6,128,496
3,37,495
6,11,493
1,191,492
1,217,489
1,184,488
8,28,486
4,63,486
6,31,482
6,73,480
6,158,480
5,250,475
7,295,474
3,179,474
4,260,472
2,55,470
2,79,470
3,115,470
8,7,470
6,247,469
2,109,469
8,49,468
1,141,467
7,62,466
6,240,465
3,302,465
4,280,463
6,4,462
1,111,460
6,236,459
1,66,459
5,150,458
3,125,457
8,299,457
4,35,457
1,220,457
4,94,455
7,391,452
3,286,449
1,77,449
5,202,448
5,0,446
2,83,446
3,283,446
2,195,446
6,208,445
2,174,444
7,120,443
2,146,443
5,262,443
2,176,441
4,284,438
4,251,437
4,245,436
2,197,435
7,187,435
2,108,435
4,14,434
4,173,434
3,266,434
1,182,434
8,312,433
1,179,433
7,309,432
3,267,430
2,121,427
7,373,424
3,20,422
2,23,422
6,258,420
5,222,420
3,294,419
3,96,416
1,241,416
2,194,416
3,252,415
7,94,415
1,167,413
2,143,413
8,97,413
2,203,412
3,265,411
7,328,411
5,292,410
7,385,410
3,250,409
6,148,407
5,220,407
7,265,407
3,195,406
1,1,405
2,99,402
6,167,402
8,218,401
5,203,400
3,89,399
8,186,398
4,226,398
6,75,397
4,168,397
4,201,396
5,137,394
1,124,394
6,137,392
1,244,390
3,264,389
3,278,389
8,126,388
5,129,388
2,155,388
3,260,387
4,262,386
7,224,385
4,266,384
5,287,384
7,137,383
5,235,381
4,95,381
1,257,381
4,62,381
1,96,381
7,404,380
3,187,379
6,39,378
2,245,377
2,222,375
3,281,374
7,20,374
2,230,374
5,110,373
1,231,373
4,242,372
3,220,370
6,143,367
5,5,367
8,338,367
6,170,365
5,233,365
4,274,363
1,73,363
8,294,362
4,294,360
5,26,359
3,16,358
5,146,355
2,145,354
8,118,354
3,186,353
2,175,353
7,138,352
3,157,351
4,267,350
4,293,349
7,27,348
8,30,348
1,226,348
6,154,347
5,101,345
4,230,345
7,342,344
2,236,344
5,290,342
1,140,342
5,160,342
1,170,341
4,116,338
5,283,337
3,177,334
5,284,334
3,289,333
4,227,332
6,220,331
8,362,330
7,65,330
1,216,329
7,88,329
3,263,328
3,132,328
3,2,327
1,171,327
3,293,327
1,181,327
6,144,326
4,76,325
8,230,325
3,127,325
6,205,324
4,80,324
7,231,324
1,165,324
2,57,324
7,228,323
6,180,323
4,6,323
6,172,322
5,155,320
2,139,319
1,130,319
2,127,318
3,33,317
5,285,317
2,130,316
5,15,316
2,107,316
2,184,316
2,160,316
5,52,315
2,4,314
8,2,313
7,78,312
5,270,311
7,392,311
5,77,311
1,213,310
6,109,310
6,212,310
3,173,309
3,5,307
6,241,307
6,81,307
3,175,307
6,76,306
2,102,306
2,8,306
7,343,306
5,107,306
6,192,306
2,179,305
6,78,304
5,205,304
3,129,303
7,61,301
5,248,300
1,219,300
3,70,300
8,271,298
8,255,298
3,243,297
5,249,296
5,158,296
2,75,296
6,169,294
8,41,294
3,251,293
4,182,293
8,0,293
4,281,292
4,249,291
4,64,291
2,16,291
7,8,290
3,183,290
4,171,288
6,242,288
1,201,288
5,276,288
4,195,287
8,13,286
8,12,285
7,386,284
4,203,284
5,163,284
3,154,284
1,95,282
5,141,282
6,151,281
2,56,281
1,145,280
8,33,280
5,171,280
2,82,280
2,188,279
3,296,278
5,30,277
5,29,276
4,4,275
4,232,275
1,28,275
7,364,274
4,126,274
3,254,274
5,197,273
5,280,272
4,241,272
3,167,272
4,96,271
5,195,271
1,103,270
1,9,270
4,82,270
6,5,269
4,175,269
8,78,268
3,75,268
7,258,267
3,44,267
3,235,266
4,93,266
7,101,266
8,265,265
3,295,265
1,180,264
4,75,263
4,234,263
6,117,263
6,223,262
8,43,261
1,4,259
6,29,259
4,268,259
2,3,258
6,22,258
1,70,258
7,21,258
6,200,258
5,242,257
4,1,257
2,161,256
4,66,256
8,257,256
3,30,256
3,22,256
3,117,255
1,85,255
6,199,254
4,140,254
6,219,254
1,83,253
4,250,253
7,17,252
7,34,252
1,173,250
7,300,248
7,176,248
4,240,248
2,167,247
6,38,247
7,69,247
4,19,246
4,212,246
1,260,246
4,167,246
1,208,246
4,152,245
2,234,245
8,21,245
4,192,244
2,11,244
3,168,243
2,144,243
3,244,242
3,10,242
2,169,242
7,334,242
5,109,242
8,174,241
4,108,241
2,235,239
5,286,238
5,282,237
7,283,237
5,126,237
7,319,237
1,30,237
1,157,237
1,263,237
2,233,237
5,257,236
2,116,235
1,126,235
3,35,235
1,23,235
6,129,235
8,67,234
8,92,234
8,169,234
6,1,232
5,223,232
6,207,232
5,184,232
2,201,231
1,132,230
1,254,230
8,133,230
1,192,230
5,255,230
5,271,229
6,71,229
8,228,229
3,101,228
5,18,228
1,120,228
7,179,228
5,73,227
1,127,227
2,72,227
8,373,227
2,156,227
5,57,226
8,328,226
3,137,225
1,18,225
6,23,225
6,213,224
4,259,224
7,24,224
1,135,223
3,301,223
3,164,222
6,64,222
3,136,222
8,282,222
8,297,221
6,189,220
5,153,220
8,6,219
7,313,219
5,131,218
3,291,218
1,44,218
4,224,218
1,148,218
3,79,218
6,227,218
3,124,218
7,2,217
8,365,217
5,179,217
1,142,217
7,47,216
8,333,215
7,71,214
3,123,213
3,204,213
3,247,213
3,103,213
7,110,212
3,156,212
8,152,212
6,253,212
8,70,212
6,244,212
7,135,211
4,134,211
2,1,211
1,169,210
8,238,210
6,152,210
5,97,209
2,33,209
2,133,209
7,341,209
5,120,208
5,234,208
2,192,208
2,131,208
1,113,207
4,150,207
8,202,206
4,9,206
4,45,206
8,14,206
3,231,205
8,167,205
5,243,205
4,178,205
5,25,204
3,227,204
1,27,204
5,208,204
2,84,204
5,231,204
7,197,203
6,215,203
2,199,203
2,138,202
3,113,202
8,17,201
8,40,201
2,171,201
8,195,201
8,349,200
7,399,200
8,3,200
6,168,200
8,310,199
1,59,199
1,68,199
6,18,198
1,12,198
8,112,198
4,184,197
1,258,197
5,272,197
7,326,196
7,173,196
6,188,196
2,185,196
3,230,196
4,154,196
1,109,195
6,59,195
3,178,195
1,212,195
5,169,195
4,283,195
3,66,195
6,95,195
4,225,195
6,44,195
4,215,195
3,200,195
5,247,195
5,167,194
6,123,194
8,245,193
6,82,193
6,20,193
2,93,193
1,266,192
2,238,192
3,170,192
7,218,192
4,276,191
8,246,191
3,50,190
5,226,190
1,209,190
2,225,189
2,48,188
7,118,188
2,178,188
1,74,188
2,80,188
5,94,187
3,236,187
6,33,187
3,165,187
7,322,187
4,124,187
6,243,187
1,188,187
4,47,186
5,266,186
1,0,186
4,148,185
4,92,185
2,154,185
4,290,185
6,48,185
8,20,185
4,243,184
3,43,184
6,254,184
3,126,184
5,240,183
8,263,182
6,191,182
5,221,182
6,159,182
4,264,182
3,280,182
7,332,182
6,56,181
4,18,181
7,189,181
5,127,181
6,99,181
2,186,180
4,28,180
2,159,180
3,1,180
3,176,179
1,143,179
7,180,178
4,16,177
7,160,177
7,38,176
1,38,176
6,245,176
8,329,176
3,8,176
1,46,175
5,186,175
2,129,175
4,289,174
3,159,174
7,155,174
4,33,174
6,92,174
8,27,174
6,68,173
4,136,172
5,134,172
3,120,172
4,72,172
6,21,171
8,157,171
4,156,171
8,284,171
3,63,171
6,257,171
1,98,170
2,71,170
4,208,170
6,127,170
4,217,170
4,261,170
8,291,170
4,218,170
4,193,169
1,125,169
7,112,169
2,244,169
1,190,169
5,72,169
3,222,169
4,288,168
2,85,168
5,130,167
4,278,167
6,231,167
4,13,167
4,265,167
3,201,167
8,135,166
6,141,166
6,72,166
6,70,165
2,106,165
5,89,165
4,180,165
1,79,164
8,318,164
1,156,163
5,175,163
5,24,163
8,254,162
4,117,162
4,22,161
3,169,161
4,209,161
5,207,161
1,80,161
7,347,161
2,113,161
3,223,160
8,311,160
5,122,160
3,82,160
7,247,159
6,139,159
3,59,159
4,65,159
5,76,159
2,7,159
8,9,158
5,170,158
4,279,158
6,12,158
4,25,157
5,264,157
3,48,157
3,242,157
4,258,157
5,48,156
1,225,156
6,209,156
5,47,156
8,18,156
5,152,156
2,165,156
8,250,156
3,138,156
1,151,156
4,41,155
8,121,155
3,135,155
5,159,154
8,235,154
7,91,154
4,122,154
4,23,153
2,78,153
6,218,153
2,19,153
2,164,152
1,245,152
7,192,152
7,318,152
4,90,152
3,300,151
8,128,151
6,165,151
5,22,151
3,148,151
4,223,151
4,79,151
1,112,151
8,262,150
7,323,150
8,53,150
3,190,150
7,82,150
6,126,149
1,119,149
3,74,149
4,272,149
1,203,149
4,85,148
7,5,148
1,161,148
8,65,147
4,228,147
1,14,147
6,15,147
5,3,146
6,97,146
6,7,146
3,198,146
6,6,145
3,297,145
4,145,145
4,189,145
8,150,145
2,119,144
5,69,144
7,377,144
4,256,143
3,128,143
3,133,143
3,249,143
3,189,143
8,146,142
6,87,142
4,60,142
6,202,142
8,187,141
6,183,141
4,54,141
2,166,141
4,269,141
5,182,141
1,107,141
8,370,141
1,5,140
2,105,140
3,248,139
8,320,139
4,52,139
8,77,139
2,128,139
7,333,139
4,287,138
2,205,138
3,213,138
1,69,138
4,185,138
7,154,137
6,184,137
7,315,137
8,200,137
7,287,137
3,210,136
8,172,136
4,51,136
4,219,136
3,270,136
1,65,136
7,210,136
8,15,135
2,170,135
6,217,135
8,354,135
5,232,134
4,98,134
4,67,134
7,0,134
2,73,134
1,168,133
6,186,132
4,229,132
5,13,132
1,114,132
4,291,132
4,158,131
1,238,131
5,177,131
1,158,131
5,49,131
6,69,131
4,102,130
7,10,130
4,277,130
5,294,130
5,80,130
7,122,130
8,47,130
6,91,129
3,130,129
2,0,129
8,341,129
7,6,129
1,72,128
4,88,128
5,149,128
2,12,128
2,150,128
1,255,127
8,74,127
3,274,127
2,58,127
6,157,127
1,177,127
6,46,127
4,198,127
3,158,127
7,237,126
5,2,126
5,81,125
1,133,125
1,94,125
1,160,125
1,214,124
6,102,124
5,246,124
6,178,124
8,355,124
8,10,124
6,201,123
7,3,123
4,155,123
3,41,123
1,123,123
7,41,123
8,99,123
5,191,123
4,26,122
8,69,122
6,85,121
2,21,121
6,79,121
3,239,121
1,239,121
3,141,121
8,215,121
1,222,121
6,54,120
7,64,120
3,285,120
4,91,119
7,350,119
7,217,119
6,160,119
7,401,119
1,64,119
5,277,118
7,415,118
8,181,118
4,133,118
2,86,118
8,85,118
4,17,117
7,76,117
5,291,117
1,115,117
7,368,116
3,45,116
7,234,116
2,17,116
3,107,116
2,45,116
7,12,116
4,100,115
7,186,115
7,339,115
2,211,115
6,177,115
4,211,115
4,56,114
6,195,114
2,81,114
5,261,114
8,351,113
4,143,113
7,87,113
3,214,113
6,132,112
8,23,112
3,271,112
1,60,112
1,164,112
3,134,112
4,29,112
6,194,111
1,136,111
4,246,111
7,235,111
6,83,111
8,163,110
5,192,110
6,74,110
4,110,109
1,250,109
5,228,109
7,25,109
8,46,109
7,289,108
4,160,108
2,135,108
5,164,107
8,62,107
8,68,107
3,184,107
2,6,106
5,161,106
1,88,106
3,85,106
6,19,106
8,64,106
3,217,105
6,60,105
2,198,105
4,244,104
7,32,104
2,221,104
5,117,104
7,281,104
7,331,104
8,144,104
2,173,104
7,23,104
4,233,103
4,166,103
1,117,103
7,159,103
5,259,102
6,146,102
4,89,102
8,173,102
5,298,102
8,96,102
2,20,102
1,166,102
1,106,102
6,32,101
8,177,101
7,205,101
7,144,101
4,286,101
3,287,101
7,127,101
5,91,101
3,108,101
3,13,101
3,290,100
2,92,100
8,161,100
6,55,100
7,273,100
1,49,100
6,255,100
6,252,100
3,83,100
5,78,99
5,278,99
5,288,99
5,213,99
8,376,99
4,137,99
3,78,99
6,103,99
1,227,99
6,225,99
4,200,99
8,124,98
7,150,98
5,104,98
2,9,97
1,150,97
6,229,97
6,176,97
5,260,97
3,171,97
6,115,97
2,210,97
6,98,97
8,8,97
1,183,96
1,52,96
8,24,96
5,165,96
4,210,96
3,188,96
4,147,96
8,339,96
5,216,95
6,51,95
4,172,95
7,225,95
7,298,95
3,118,95
7,51,95
8,334,95
5,20,95
7,259,94
2,231,94
1,121,94
5,119,94
7,403,94
3,288,94
3,31,94
7,136,94
7,22,94
5,84,94
4,237,94
8,45,93
4,183,93
5,268,93
2,24,93
5,17,93
6,25,93
4,21,92
8,242,92
8,279,92
3,226,92
3,21,92
7,167,92
5,172,92
7,378,92
1,174,92
7,156,92
7,86,92
6,206,92
3,12,92
2,241,91
7,412,91
7,98,91
7,79,91
6,190,91
6,153,91
6,124,91
6,196,91
4,69,91
4,115,91
5,68,91
4,101,91
3,151,91
3,67,91
4,74,91
8,98,90
5,86,90
5,273,90
2,74,90
7,7,89
5,194,89
4,78,89
7,18,89
7,11,89
4,144,89
8,336,89
2,29,89
6,149,89
5,114,89
6,145,89
2,87,89
8,89,89
4,11,89
7,4,88
3,140,88
8,330,88
7,168,88
2,223,88
8,129,87
2,218,87
5,34,87
4,188,87
2,89,87
5,299,87
5,133,87
7,238,86
5,143,86
1,7,86
5,204,86
6,230,86
4,24,86
7,201,86
1,37,86
4,105,86
7,299,86
5,65,85
7,388,85
2,70,85
4,164,85
5,40,85
6,250,85
7,253,85
8,196,85
7,164,84
7,53,84
4,83,84
4,119,84
3,15,84
2,153,84
1,92,84
8,131,84
4,109,84
6,35,84
5,121,84
1,243,83
7,212,83
6,111,83
5,295,83
7,73,83
1,104,83
8,88,83
2,149,82
8,82,82
7,81,82
1,67,82
5,58,82
3,174,82
4,221,81
7,93,81
8,219,81
7,33,81
2,200,81
5,189,81
7,383,81
2,206,81
3,102,80
4,153,80
7,29,80
7,284,80
8,374,80
6,61,80
7,194,79
4,176,79
7,229,79
1,56,79
1,137,79
2,147,79
7,63,79
1,100,79
8,372,79
7,74,78
7,97,78
1,11,78
4,255,77
8,36,77
4,252,77
6,135,77
8,184,77
4,238,77
8,367,77
8,337,76
1,48,76
6,16,76
1,253,76
1,247,76
3,202,75
8,313,75
8,84,75
4,97,75
5,55,74
8,105,74
3,110,74
8,353,74
8,216,74
8,102,74
8,147,74
6,116,74
3,241,74
3,203,74
3,234,73
3,192,73
8,26,73
8,11,73
7,80,73
4,149,73
2,25,73
2,110,73
7,121,72
8,179,72
4,111,72
4,247,72
5,239,72
1,13,72
7,90,72
7,116,72
7,206,72
3,91,71
6,80,71
1,86,71
5,70,71
1,129,71
4,10,70
6,101,70
8,100,70
4,7,69
1,31,69
7,370,69
3,245,69
8,149,69
4,34,69
3,216,69
6,96,69
8,44,69
3,276,69
7,304,69
3,17,68
6,118,68
2,53,68
2,123,68
8,110,68
7,240,68
1,76,68
1,204,68
5,218,67
5,225,67
4,179,67
7,398,67
7,325,67
4,213,67
4,181,66
4,68,66
5,64,66
5,275,66
8,275,66
7,54,66
1,63,66
4,32,66
3,105,66
7,75,66
4,99,66
7,286,66
6,166,65
5,51,65
8,139,65
6,52,65
7,280,65
6,67,65
6,163,65
7,203,65
1,55,65
4,159,65
8,217,65
7,104,65
7,100,65
6,93,65
6,89,65
2,120,65
7,68,65
8,301,65
5,23,64
7,28,64
1,139,64
2,77,64
5,61,64
2,151,64
3,215,64
2,158,64
3,69,63
4,169,63
4,43,63
1,232,63
8,324,63
8,123,63
5,140,63
5,173,63
5,185,63
5,6,62
4,273,62
2,187,62
5,14,62
1,58,62
8,225,62
6,94,62
7,272,61
8,137,61
7,117,61
7,279,61
1,57,61
4,170,61
8,107,61
6,114,61
6,105,61
1,21,61
5,181,61
6,10,61
1,162,61
5,148,60
7,57,60
8,136,60
7,39,60
8,224,60
4,114,59
6,221,59
7,408,59
8,83,59
4,216,59
8,31,59
8,273,59
2,90,59
5,67,59
6,181,58
2,10,58
1,159,58
7,199,58
1,62,57
2,202,57
1,78,57
4,146,57
2,62,57
4,39,57
3,218,57
2,94,57
2,95,57
2,117,57
6,45,57
5,297,57
8,90,56
8,81,56
4,77,56
8,50,56
4,0,56
7,232,56
4,104,56
1,53,56
3,277,56
7,43,56
5,41,55
8,132,55
8,344,55
6,142,55
8,317,55
7,414,55
1,105,55
8,198,55
3,147,55
5,42,55
8,194,55
7,48,54
6,63,54
4,263,54
8,213,54
2,239,54
2,15,54
2,22,54
8,156,54
1,233,53
2,189,53
6,30,53
8,209,53
1,93,53
3,258,53
8,148,53
1,29,53
1,50,52
8,162,52
8,239,52
8,114,52
8,93,52
7,129,52
4,123,52
8,300,52
3,233,52
7,367,52
1,36,51
2,132,51
6,193,51
3,49,51
3,255,51
8,227,51
5,168,51
1,35,51
2,69,51
