segment,cluster,size
7,310,2872
4,109,2611
8,356,2257
8,87,1986
3,4,1942
7,416,1605
2,26,1569
6,0,1538
3,25,1526
8,351,1514
8,26,1499
3,191,1495
6,270,1396
3,111,1382
5,13,1358
3,275,1353
2,249,1352
7,204,1337
2,80,1329
2,252,1288
7,422,1275
5,279,1249
5,133,1249
1,11,1222
7,359,1213
4,43,1202
7,187,1191
8,43,1180
7,37,1157
2,71,1154
5,312,1133
6,85,1108
2,256,1098
8,112,1097
1,8,1083
4,243,1061
5,62,1060
3,142,1015
5,273,961
4,246,948
3,14,946
2,286,940
8,85,939
7,320,937
8,298,935
5,289,927
6,44,916
1,27,915
8,183,909
2,243,908
1,159,906
1,63,901
2,43,899
1,94,898
6,252,879
5,37,862
8,176,862
5,183,850
1,32,849
7,108,849
1,2,848
3,282,843
5,4,822
7,405,821
6,278,817
4,216,817
8,349,811
1,107,805
2,235,804
2,293,795
3,298,791
4,244,787
5,12,786
4,141,777
2,194,773
7,321,769
1,223,763
8,202,757
2,283,756
6,130,755
6,171,755
4,261,752
4,205,747
1,171,744
6,267,744
3,229,742
6,38,739
8,264,737
4,47,737
3,237,736
8,227,720
1,91,720
8,268,718
5,1,715
7,266,714
6,247,711
4,259,709
8,352,706
8,1,705
2,34,703
1,281,701
5,291,701
4,229,696
7,404,688
4,33,684
2,41,684
1,77,677
3,219,677
6,243,675
1,197,670
4,146,666
5,197,659
7,382,658
1,23,658
1,262,658
1,271,657
2,206,654
1,158,652
2,221,650
8,348,650
4,144,643
2,199,640
6,14,635
8,5,635
5,195,629
1,89,628
1,206,623
4,248,621
6,158,621
4,29,619
5,109,617
7,414,612
1,100,610
7,316,609
1,183,606
5,104,605
7,409,605
6,146,604
3,109,600
2,46,599
8,255,596
8,267,594
5,237,593
1,201,585
6,238,584
2,282,583
5,304,582
6,269,581
4,180,577
4,112,576
3,273,574
5,246,574
5,203,569
7,253,568
2,158,567
5,238,565
7,210,562
4,252,560
1,218,559
6,251,555
6,198,554
2,69,550
6,256,546
8,306,542
3,152,541
3,11,538
4,209,537
4,51,530
6,18,529
4,147,529
4,212,528
6,111,527
8,163,526
4,31,526
7,14,524
5,57,523
5,103,522
3,7,520
6,218,520
2,163,519
4,230,519
4,106,519
7,339,518
6,227,518
1,3,518
6,195,515
4,2,515
3,84,512
6,231,512
1,154,512
6,128,511
5,212,510
2,242,509
6,92,508
2,203,507
5,66,506
2,269,504
8,253,502
7,364,502
5,118,502
3,207,500
4,223,500
4,35,499
3,257,499
1,249,497
6,133,496
3,37,495
6,12,493
1,199,492
1,225,489
1,192,488
4,55,486
6,32,482
5,260,475
7,298,474
3,179,474
2,92,470
8,7,470
3,115,470
2,62,470
6,268,469
2,128,469
8,53,468
1,146,467
7,63,466
3,302,465
6,259,465
1,260,464
1,267,464
6,4,462
6,160,460
6,254,459
1,68,459
8,125,458
5,156,458
1,228,457
3,125,457
4,84,455
7,399,452
1,79,449
3,286,449
8,323,448
5,208,448
7,379,448
5,0,446
