accession,H7,H10,H12
>MT406929,0.7221852098600933,0.33311125916055967,1.0
>MT407001,0.7214682981090099,0.33437152391546154,1.0
>MT407041,1.0,0.9660434128519236,0.3754566946056308
>GQ907286,1.0,0.973718791064389,0.3545773105562856
>MF146658,1.0,0.9660980349816454,0.37205787087022235
>MK327718,0.8698464025869038,0.8581244947453518,1.0
>MK327694,0.8708569118835895,0.8581244947453518,1.0
>MK327702,0.8698464025869038,0.8581244947453518,1.0
>MK326656,0.8698464025869038,0.8581244947453518,1.0
>MK327734,0.8698464025869038,0.8581244947453518,1.0
>MK327726,0.8698464025869038,0.8581244947453518,1.0
>MK327686,0.8698464025869038,0.8581244947453518,1.0
>MK327758,0.8697147481286669,0.8579809832085776,1.0
>KY644423,0.8717948717948719,0.8572582273369674,1.0
>KJ195668,0.8719967696345647,0.8586715122148193,1.0
>KY644472,0.8705339221196305,0.8540746688077078,1.0
>KX960412,0.8713368125250902,0.8550782818145323,1.0
>KX960458,0.8732167972674303,0.8549326903757286,1.0
>KY644351,0.8695913461538461,0.8547676282051283,1.0
>KX960451,0.8711360899237253,0.8548775592131674,1.0
>KY644236,0.8704891740176423,0.8530473135525259,1.0
>KY644232,0.8701010101010103,0.8604040404040404,1.0
>KY673155,0.8703071672354948,0.8544468982132103,1.0
>KY644258,0.8701010101010103,0.8604040404040404,1.0
>MN431050,0.8695119460894424,0.8705329793751277,1.0
>KX024583,0.8842083419796638,0.8698900186760739,1.0
>MH071465,0.7421282463801423,0.3190071247988968,1.0
>CY014671,0.7184659720682774,0.38505874528929285,1.0
>AB292666,0.7169939065673663,0.38117806364251866,1.0
>GQ176136,0.7184659720682774,0.38505874528929285,1.0
>KF006414,0.7274928461369139,0.33744221879815095,1.0
>MG366509,0.7158385093167703,0.33961845607808344,1.0
>MG366510,0.7168003565062389,0.3375668449197861,1.0
>MG366511,0.7184010719071013,0.335194283162126,1.0
>MG366512,0.7167707404103478,0.338314005352364,1.0
>KP412449,0.7224334600760456,0.336390069335719,1.0
>KP412447,0.7214141866189303,0.33743566793466107,1.0
>KP412448,0.7199374161823872,0.33705856057219485,1.0
>MG366507,0.7224571555753393,0.33184954373469844,1.0
>MG366508,0.7189659014932025,0.3369734789391575,1.0
>MG366506,0.7255252570406795,0.3466696468484578,1.0
>KF259197,0.7218617140299841,0.32736630118594756,1.0
>CY185449,0.719247143177235,0.3190678915527672,1.0
>CY185457,0.719247143177235,0.3190678915527672,1.0
>KY635719,0.5536819637139808,0.7195304162219851,1.0
>KY635680,0.5523910733262486,0.7173219978746015,1.0
>MH071475,0.7403100775193798,0.32261741906064745,1.0
>MH071479,0.7421282463801423,0.3190071247988968,1.0
>MH071452,0.7421282463801423,0.3190071247988968,1.0
>MH071490,0.7411178999773703,0.32812853586784335,1.0
>MH071468,0.7411178999773703,0.32812853586784335,1.0
>KU921401,0.7304774654172245,0.3665774207942883,1.0
>JQ924786,0.7393323015697547,0.3391554278133982,1.0
>MK978864,0.7360829389226955,0.3547441965291864,1.0
>MK592485,0.7365419708029198,0.34717153284671537,1.0
>MK592493,1.0,0.9772275038691135,0.3603802785761663
>AB780369,1.0,0.9765196401141103,0.3607636603028308
>AB450443,0.7368660450307027,0.35569706618148733,1.0
>LC339699,0.7361963190184049,0.35196546239491017,1.0
>CY014619,0.7356194690265486,0.3561946902654867,1.0
>AB292781,0.7361173814898421,0.3525959367945824,1.0
>LC121476,0.7165822506055936,0.36886148425456944,1.0
>MK033557,0.7148926654740609,0.38908765652951705,1.0
>KP862019,0.7200089525514771,0.3292300805729632,1.0
>KP862027,0.7263960529266653,0.3247364880017941,1.0
>KP862035,0.7263369881405235,0.3235623181919893,1.0
>KP287830,0.720439757684541,0.3423827686784832,1.0
>KP287838,0.7198024247867086,0.3414907947911989,1.0
>KP287894,0.7311116183519746,0.37114813969413385,1.0
>KP287902,0.7302781577747378,0.3714090287277702,1.0
>KP287910,0.7311116183519746,0.37114813969413385,1.0
>KP287926,0.717357222844345,0.34176931690929446,1.0
>KP287942,0.7222096956031568,0.3503945885005637,1.0
>KP287966,0.7258497316636852,0.3282647584973167,1.0
>KP287974,0.7255428699350794,0.32751287217371844,1.0
>KP287982,0.7255428699350794,0.3286321916274905,1.0
>KP287990,0.7252353204840879,0.3267593007619901,1.0
>KP287846,0.7206113733423242,0.34254888739042477,1.0
>KP287854,0.7206113733423242,0.341425039334682,1.0
>KP287862,0.7206113733423242,0.341425039334682,1.0
>KP287870,0.7206113733423242,0.34254888739042477,1.0
>KP287950,0.7230734565119423,0.35173501577287064,1.0
>KP287878,0.7206113733423242,0.34254888739042477,1.0
>KP287886,0.7211495285136956,0.33969465648854963,1.0
>LC496276,0.7397229161935045,0.35180558709970483,1.0
>LC339811,0.7422141395771766,0.32598317799499893,1.0
>MK978928,0.7333181507629242,0.3388749715326805,1.0
>LC349399,0.731404024417816,0.32240560705403576,1.0
>LC367370,0.731823329558324,0.3234428086070215,1.0
>LC367386,0.7315527387958352,0.3220914440923494,1.0
>LC367402,0.731823329558324,0.3234428086070215,1.0
>KU921400,0.7296279893711248,0.32595217006200183,1.0
>KU921402,0.7354967770615691,0.3254056456990442,1.0
>LC496316,0.7330205540661305,0.32730116175156393,1.0
>LC496308,0.7356192194901873,0.32776900518836,1.0
>LC496300,0.7351947759513624,0.3294303084890791,1.0
>LC427499,0.721051438930433,0.3902107409925222,1.0
>KP063197,0.7223713646532437,0.33758389261744964,1.0
>GQ325642,0.7298460144927535,0.34895833333333337,1.0
>GQ325634,0.7304563940352463,0.350429281518301,1.0
>GQ325650,0.7301515494232074,0.3496946392218955,1.0
>CY146764,1.0,0.9816593886462882,0.3676855895196507
>MF146196,1.0,0.9807192374350088,0.3726169844020798
>MF575235,0.7314629258517037,0.3353373413493655,1.0
>CY077048,0.7240682532555006,0.33385720700493937,1.0
>MK100304,0.7128867126641443,0.32806588025817945,1.0
>MK100312,0.7159065628476085,0.3299221357063403,1.0
>KF259194,0.7240143369175628,0.3277329749103942,1.0
>KX602668,0.8884297520661159,0.8657024793388429,1.0
>CY077032,0.7362364620938627,0.34589350180505407,1.0
>MK100296,0.7159065628476085,0.3299221357063403,1.0
>CY133553,0.8812860676009893,0.868095630667766,1.0
>CY133561,0.7199017199017198,0.35068125977216885,1.0
>JN696316,0.8747226144845673,0.862618519265685,1.0
>KX978192,0.7293547676723189,0.34970270865448144,1.0
>KX977889,0.7330960854092526,0.3309608540925266,1.0
>KX979240,0.7187774846086191,0.3227792436235708,1.0
>KX979229,0.726130099228225,0.32679162072767365,1.0
>KX978236,0.7370386643233742,0.35171353251318105,1.0
>KX978964,0.7324288256227757,0.3338523131672597,1.0
>KX978624,0.7213875386654882,0.32412726469288555,1.0
>MF147327,0.726130099228225,0.32679162072767365,1.0
>MF146604,0.7361635919093131,0.33896421426983775,1.0
>KX978006,0.7358700489541611,0.3382287494437028,1.0
>MF959948,0.7358700489541611,0.3382287494437028,1.0
>MF959962,0.7332151562153776,0.3332594726346111,1.0
>KX978193,0.7218791354212615,0.32245258050286724,1.0
>KX977924,0.7242598320813081,0.32346442775077333,1.0
>KX978314,0.7213765718067505,0.3269358041032429,1.0
>MF146224,1.0,0.9784343325425923,0.375673927108044
>KX978640,0.7229714791067876,0.3208047755914217,1.0
>KX978848,0.7204395604395605,0.32989010989010986,1.0
>MF682686,0.7243816254416962,0.32398409893992935,1.0
>KX978577,0.7204230006609387,0.32452081956378065,1.0
>KX979437,0.7341349365397463,0.3302159875306168,1.0
>MF145846,0.737816979051819,0.3490628445424475,1.0
>MF575288,0.7341349365397463,0.3302159875306168,1.0
>MF146856,0.737885462555066,0.3504405286343613,1.0
>MF575060,1.0,0.9777441659464133,0.38007778738115816
>MF145850,0.5504587155963302,0.7241451209341118,1.0
>MF147992,0.5505524286012092,0.7250364811340422,1.0
>MF146641,0.5505524286012092,0.7250364811340422,1.0
>MF147328,0.5505524286012092,0.7250364811340422,1.0
>MF145790,0.5509268902312017,0.7223495105186418,1.0
>MF145787,0.5509268902312017,0.7223495105186418,1.0
>CY130094,0.8929309632079371,0.865026870607689,1.0
>AB289335,0.8872488724887247,0.862238622386224,1.0
>CY076945,0.7314981949458483,0.33686823104693137,1.0
>CY076968,1.0,0.9730023949488352,0.35554104071413023
>CY185417,0.7244165170556554,0.3254039497307002,1.0
>CY185505,0.7233947013920071,0.3338572070049393,1.0
>CY185689,0.7105145413870246,0.3250559284116331,1.0
>CY183839,0.7159472153880563,0.3205099530306419,1.0
>CY186284,0.7159472153880563,0.3205099530306419,1.0
>CY183847,0.7159472153880563,0.3205099530306419,1.0
>CY183855,0.7171332586786114,0.32273236282194845,1.0
>CY183863,0.7160134378499441,0.3209406494960806,1.0
>CY183871,0.7160134378499441,0.3209406494960806,1.0
>CY183879,0.7160134378499441,0.3209406494960806,1.0
>CY183887,0.716816143497758,0.3210762331838565,1.0
>CY183895,0.7160134378499441,0.3209406494960806,1.0
>CY183903,0.7160134378499441,0.3209406494960806,1.0
>CY183911,0.7145730889584265,0.3211890925346446,1.0
>CY183919,0.7163310961968681,0.32125279642058163,1.0
