accession,N7,N9,N6,N8
>CY076167,0.5058514135437212,0.5226824457593688,0.4916502301117685,0.21801446416831033
>CY097680,0.5091387245233399,0.5232084155161079,0.4917817225509533,0.21722550953320185
>KY013750,0.503353057199211,0.5234714003944773,0.4905982905982905,0.221301775147929
>KY063862,0.5166337935568706,0.5337278106508876,0.4992767915844839,0.23234714003944776
>MK071350,0.41538461538461535,0.1918474687705457,0.3748849441157134,0.5145299145299147
>CY076015,0.5084812623274162,0.5245233399079553,0.49112426035502954,0.22195923734385276
>CY005548,0.42143326758711375,0.19684418145956606,0.36791584483892176,0.5266272189349113
>AB292786,0.40578566732412885,0.18566732412886258,0.3610782380013149,0.514266929651545
>CY014620,0.42353714661406966,0.19947403024326102,0.3706771860618015,0.5245233399079552
>AB292782,0.4067061143984221,0.1868507560815253,0.3622616699539777,0.5100591715976333
>EU871830,0.5079552925706772,0.5229454306377382,0.4895463510848126,0.21196581196581196
>EU743137,0.40907297830374745,0.1873767258382643,0.3637080867850099,0.516370808678501
>CY097704,0.5095332018408941,0.5243918474687705,0.4907297830374754,0.21735700197238658
>CY097712,0.5099276791584484,0.5242603550295859,0.4907297830374754,0.21814595660749508
>CY097720,0.5099276791584484,0.5242603550295859,0.4907297830374754,0.21814595660749508
>CY097728,0.5095332018408941,0.5243918474687705,0.49099276791584484,0.2176199868507561
>MK424190,0.39999999999999997,0.36081525312294543,0.23458251150558845,0.4866535174227482
>MK424193,0.39999999999999997,0.36081525312294543,0.23458251150558845,0.4866535174227482
>MK424195,0.39999999999999997,0.36081525312294543,0.23458251150558845,0.4866535174227482
>MK424200,0.39999999999999997,0.36015779092702166,0.23458251150558845,0.4870479947403024
>CY032722,0.5214990138067062,0.5349112426035503,0.502301117685733,0.23063773833004603
>KX960455,0.5209730440499671,0.5370151216305062,0.5005917159763313,0.23037475345167652
>KY550765,0.5183431952662721,0.5328073635765943,0.5003287310979618,0.23103221564760026
>CY130104,0.4107823800131493,0.19092702169625247,0.356344510190664,0.5138724523339907
>CY005853,0.4249835634451019,0.2042077580539119,0.3729125575279421,0.5243918474687705
>MK071422,0.3992110453648915,0.35844838921762,0.2269559500328731,0.4883629191321498
>CY005719,0.4249835634451019,0.2011834319526627,0.36633793556870486,0.5245233399079553
>MK045479,0.40460223537146617,0.36344510190664037,0.23353057199211044,0.4912557527942143
>CY185889,0.40999342537804073,0.190138067061144,0.3571334648257725,0.5130834976988823
>CY005726,0.4240631163708087,0.2009204470742932,0.36489151873767256,0.5237343852728469
>CY005407,0.42432610124917813,0.20052596975673903,0.36568047337278103,0.5238658777120315
>MH498701,0.41222879684418146,0.19013806706114394,0.3772518080210388,0.5147928994082841
>MK071446,0.3992110453648915,0.3572649572649572,0.22656147271531885,0.4890203813280737
>MK071454,0.40236686390532544,0.3625246548323472,0.23037475345167652,0.4890203813280736
>KX101186,0.42064431295200516,0.3777777777777778,0.23037475345167654,0.49993425378040757
>MK163948,0.4014464168310322,0.3605522682445759,0.23168967784352396,0.4890203813280737
>MK163958,0.4014464168310322,0.3605522682445759,0.23168967784352396,0.4890203813280737
>MH499170,0.41288625904010523,0.19026955950032876,0.3779092702169625,0.5146614069690992
>MH488116,0.4014464168310322,0.36147271531886915,0.23195266272189347,0.48888888888888893
>MH499082,0.41170282708744244,0.1968441814595661,0.38211702827087446,0.511768573307035
>MH499004,0.41170282708744244,0.1968441814595661,0.38211702827087446,0.511768573307035
>MH488124,0.40223537146614075,0.3588428665351742,0.23247863247863246,0.48678500986193296
>MH498828,0.41170282708744244,0.1968441814595661,0.38211702827087446,0.511768573307035
