segment,parent,left_child,right_child,distance,size
4,55281,42140.0,42141.0,9.031068188613932e-08,2.0
4,55282,28945.0,28946.0,1.5883896950876598e-07,2.0
4,55283,29055.0,29056.0,2.3383430878036045e-07,2.0
4,55284,28176.0,28177.0,2.428020646691371e-07,2.0
4,55285,36220.0,38318.0,2.8500296847425644e-07,2.0
4,55286,42704.0,42705.0,3.050419106473665e-07,2.0
4,55287,28804.0,41856.0,3.178510590544123e-07,2.0
4,55288,20798.0,20799.0,3.264269847304999e-07,2.0
4,55289,36200.0,36201.0,3.3585511653377545e-07,2.0
4,55290,20604.0,20605.0,3.372570961045109e-07,2.0
4,55291,54888.0,54889.0,3.458907467556315e-07,2.0
4,55292,4874.0,4875.0,3.693113843021908e-07,2.0
4,55293,22037.0,31224.0,3.9242871125884206e-07,2.0
4,55294,4835.0,4836.0,4.1398100329079445e-07,2.0
4,55295,51985.0,52091.0,4.304604776398626e-07,2.0
4,55296,17581.0,25161.0,4.519745972187251e-07,2.0
4,55297,14742.0,14751.0,4.841157717926266e-07,2.0
4,55298,15844.0,15845.0,5.029590297507282e-07,2.0
4,55299,47336.0,48099.0,5.14481337716389e-07,2.0
4,55300,49988.0,50051.0,5.331201499700045e-07,2.0
