segment,epsilon,DBCV
1,0.0,0.31523525868934954
1,0.1,0.8375478071674688
1,0.2,0.7141448357747096
1,0.3,0.5249512811475231
1,0.01,0.7522915171386391
1,0.02,0.8166693379925188
1,0.03,0.853470427191829
1,0.04,0.8565470797285526
1,0.05,0.8582616610608366
1,0.06,0.8553790592227033
1,0.07,0.8472572779628336
1,0.041,0.8596180522557083
1,0.042,0.8596180522557083
1,0.043,0.8596180522557083
1,0.0401,0.8565470797285526
1,0.0402,0.8565470797285526
1,0.0403,0.8565470797285526
1,0.0404,0.8565470797285526
1,0.0405,0.8565470797285526
1,0.0406,0.8565470797285526
