segment,cluster,size
1,21,4015
3,79,3143
4,128,2960
7,154,2811
7,255,2768
8,186,2687
6,62,2621
2,159,2445
8,303,2355
5,216,2261
7,317,2213
2,237,2094
5,286,2069
3,20,1983
8,70,1975
3,245,1832
1,199,1753
1,164,1731
5,302,1701
6,205,1700
3,261,1667
2,118,1654
1,190,1632
7,4,1620
5,130,1619
3,3,1611
1,212,1591
8,21,1576
4,182,1548
7,94,1538
6,104,1483
1,196,1478
7,47,1466
7,168,1457
1,239,1438
2,21,1421
2,230,1397
2,141,1374
1,184,1363
7,224,1362
6,84,1362
8,203,1341
2,112,1324
2,203,1300
8,246,1296
1,42,1295
1,208,1280
3,226,1272
2,128,1269
2,134,1262
5,2,1221
2,0,1216
6,32,1206
2,178,1200
8,4,1199
6,94,1198
2,50,1194
4,107,1190
4,190,1182
7,298,1179
3,76,1171
8,108,1166
1,115,1155
2,221,1131
4,153,1126
5,219,1106
7,236,1090
1,245,1085
5,194,1082
2,37,1081
5,127,1079
3,210,1076
4,104,1075
6,245,1062
5,188,1057
3,208,1055
1,72,1042
4,12,1023
6,87,1005
3,59,997
2,60,983
6,255,977
3,181,963
8,101,960
1,221,946
6,137,931
7,234,921
6,163,918
5,125,918
5,35,911
5,297,909
5,83,903
8,167,901
4,120,893
6,80,892
8,306,891
3,130,864
4,124,863
1,110,863
6,69,861
4,253,856
1,220,856
1,198,855
4,114,852
7,22,839
2,211,837
7,141,833
8,6,820
7,316,819
4,49,816
5,1,816
8,48,814
2,153,810
5,4,806
7,75,800
1,138,791
7,155,787
6,200,787
6,20,783
4,218,783
2,126,782
2,105,771
6,67,770
1,23,764
4,9,764
5,275,758
1,207,751
2,191,746
8,255,730
4,93,730
2,117,730
7,23,722
4,140,721
5,228,720
7,84,719
2,41,717
1,5,715
3,196,711
3,84,709
8,47,705
6,191,703
6,156,702
8,157,702
3,66,700
6,155,699
4,216,698
3,180,697
5,113,691
3,197,691
4,188,690
6,136,687
3,213,684
8,100,684
6,107,683
4,3,683
2,175,677
5,6,676
6,252,675
8,310,675
4,103,675
5,257,673
5,208,671
2,65,667
2,123,659
5,152,657
8,10,657
4,175,656
4,68,656
7,270,656
4,151,653
7,87,652
5,261,652
8,218,650
1,241,649
3,100,647
8,142,645
8,260,644
6,30,644
3,22,638
1,160,636
5,118,635
5,164,630
3,264,624
1,112,623
1,150,620
4,40,620
1,240,611
8,267,611
4,78,609
7,231,609
4,196,603
5,279,602
6,97,601
8,168,596
4,223,596
8,169,596
2,226,596
7,11,595
5,253,586
5,3,585
7,50,583
6,0,582
6,15,580
8,16,580
3,254,578
4,136,576
1,58,576
8,31,574
5,30,572
4,176,566
3,113,565
3,251,561
8,52,561
6,194,560
6,244,558
8,239,551
7,33,551
6,133,543
3,182,539
6,207,537
8,194,537
7,249,536
2,106,535
6,1,535
3,37,532
4,164,529
4,87,527
8,120,527
4,252,526
4,86,524
4,46,524
8,0,523
3,168,522
7,7,522
3,228,519
4,57,515
1,149,513
6,246,512
3,102,512
5,0,512
7,290,512
6,176,511
2,11,509
1,24,506
3,212,506
2,16,505
4,162,504
2,209,501
6,2,500
4,184,500
3,4,499
6,190,497
6,206,496
8,264,486
5,138,484
6,238,482
6,157,481
6,229,480
3,266,478
1,188,478
2,116,471
4,203,466
1,155,464
3,184,461
2,80,458
5,84,458
6,235,458
3,155,457
1,0,454
6,12,453
4,172,452
