strain,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
1,0,0,10,24,186,220,217,11
1,0,0,10,24,186,220,217,296
1,0,0,245,217,125,38,101,242
15,0,3,85,2,98,101,23,38
1,0,3,85,2,98,101,64,38
3,0,7,245,149,186,32,208,98
1,0,11,97,46,118,30,175,38
3,0,11,97,46,118,30,175,242
1,0,16,4,8,30,12,23,11
1,0,16,4,8,30,12,23,26
1,0,16,4,8,30,12,23,38
142,0,16,4,8,30,12,23,74
1,0,16,4,8,30,12,23,123
1,0,16,4,8,30,12,23,175
14,0,16,4,8,30,12,23,242
1,0,16,4,8,30,12,23,296
1,0,16,4,8,30,12,59,11
1,0,16,4,8,30,12,59,74
1,0,16,4,8,30,21,23,74
3,0,16,4,8,30,43,23,74
1,0,16,4,8,30,43,23,242
1,0,16,4,8,30,49,23,74
6,0,16,4,8,30,166,23,74
1,0,16,4,8,30,166,23,242
135,0,16,4,20,30,12,23,11
1,0,16,4,20,30,12,23,74
1,0,16,4,20,30,12,23,87
3,0,16,4,20,30,12,23,242
9,0,16,4,20,30,148,23,11
1,0,16,51,20,30,49,23,11
1,0,16,67,23,123,166,23,73
1,0,16,122,8,30,49,23,38
8,0,16,122,8,30,49,23,87
15,0,43,122,8,30,49,23,87
1,0,43,174,8,30,49,23,26
1,0,44,31,96,48,28,101,14
1,0,44,31,96,48,28,101,74
3,0,47,51,8,30,49,23,74
1,0,49,85,2,98,101,64,73
1,0,51,30,24,186,213,217,242
1,0,51,67,23,123,49,23,25
7,0,51,67,23,123,49,23,73
1,0,51,67,23,123,49,23,242
1,0,60,4,8,30,12,23,10
5,0,60,4,8,30,12,23,74
6,0,60,4,20,30,12,23,11
2,0,71,133,85,26,121,13,130
1,0,71,133,185,26,11,13,123
1,0,71,133,185,26,121,13,147
2,0,126,59,241,8,195,15,116
15,0,126,174,228,19,195,15,26
1,0,126,174,228,19,195,15,242
5,0,126,174,228,150,195,15,26
1,0,150,10,24,186,213,217,242
1,0,163,10,24,186,219,169,171
4,0,163,10,24,186,219,169,242
1,0,180,245,218,107,31,155,242
1,0,189,245,90,110,32,163,25
4,0,191,48,8,130,49,87,183
1,0,191,48,223,161,15,87,123
3,0,191,59,223,130,200,87,120
1,0,191,59,223,130,200,87,242
1,0,194,36,218,125,208,194,11
1,0,207,245,134,177,120,164,300
1,1,5,6,31,183,122,137,23
12,1,5,6,31,183,122,137,302
1,1,5,6,31,183,169,137,23
1,1,5,6,31,183,169,137,302
2,1,5,6,31,200,122,137,23
5,1,5,6,31,200,122,137,302
1,1,5,6,31,200,122,170,302
6,1,5,6,31,200,169,137,302
1,1,5,6,31,200,169,170,302
1,1,5,6,31,200,184,137,302
1,1,5,6,31,200,245,137,302
4,1,5,6,31,238,67,137,302
1,1,5,6,31,238,69,137,302
8,1,5,6,31,238,122,137,23
39,1,5,6,31,238,122,137,302
1,1,5,6,31,238,122,170,302
6,1,5,6,31,238,122,211,302
1,1,5,6,31,238,122,224,302
1,1,5,6,31,238,122,276,302
3,1,5,6,31,238,169,137,302
1,1,5,6,31,238,169,170,23
1,1,5,6,31,238,169,170,302
1,1,5,6,31,238,245,137,302
1,1,5,6,87,183,122,137,302
1,1,5,6,114,238,122,137,23
1,1,5,207,31,238,67,137,302
1,1,5,208,31,200,122,170,23
1,1,5,208,31,200,169,137,23
1,1,5,208,31,200,169,170,23
1,1,5,208,31,200,184,137,23
1,1,5,208,31,200,245,137,302
3,1,5,208,31,238,67,276,23
1,1,5,208,31,238,169,137,23
2,1,5,208,31,238,169,170,23
1,1,5,208,31,238,184,137,23
1,1,5,275,31,200,69,170,23
1,1,117,6,31,183,122,137,302
1,1,117,6,31,183,122,211,302
1,1,117,6,31,200,122,137,23
1,1,117,6,31,200,157,170,23
1,1,117,6,68,200,245,255,31
1,1,118,149,40,183,157,255,167
1,1,118,208,31,200,245,170,23
1,1,118,275,131,208,67,19,306
1,1,130,6,40,183,133,284,167
1,1,130,6,190,79,87,255,177
1,1,130,207,40,183,133,284,167
1,1,134,6,57,279,157,255,203
1,1,134,6,68,9,245,255,31
1,1,134,50,68,183,245,255,31
1,1,134,102,92,200,133,255,316
1,1,134,102,92,279,163,255,167
1,1,134,141,136,208,146,199,306
22,1,134,207,93,274,133,255,302
1,1,134,208,189,208,146,255,167
1,1,134,228,64,208,245,255,203
1,1,134,275,63,280,87,231,203
1,2,3,85,2,98,101,23,38
1,2,16,4,20,30,148,23,11
1,2,45,49,85,6,121,94,70
24,2,45,49,85,6,121,94,72
2,2,45,49,85,6,121,94,130
1,2,45,49,85,6,121,94,147
2,2,45,49,85,6,121,214,72
2,2,71,133,85,26,121,13,147
1,2,71,133,185,26,121,13,147
1,2,163,10,24,186,219,217,242
1,2,205,49,85,6,121,93,72
7,2,205,49,85,6,121,94,72
24,3,28,52,186,164,131,17,15
8,3,29,52,186,164,44,17,15
1,3,29,52,186,164,131,17,15
13,3,29,110,186,164,44,17,16
1,3,29,113,100,8,195,31,15
19,3,29,113,100,164,44,17,15
5,3,29,113,100,164,44,17,16
8,3,29,113,186,164,44,17,15
1,3,29,113,186,164,44,17,16
1,3,29,113,186,164,44,34,16
17,3,29,116,186,164,44,17,16
2,4,37,2,169,1,0,76,140
2,4,41,37,84,207,1,76,140
5,4,41,37,86,207,1,76,140
2,4,41,39,84,1,1,76,140
1,4,41,46,223,27,200,76,120
1,4,41,46,223,27,200,76,140
1,4,41,46,223,27,200,89,120
1,4,41,46,223,27,200,89,140
1,4,41,46,223,27,233,76,120
1,4,41,46,223,27,233,76,140
1,4,41,46,223,27,233,89,120
1,4,41,46,223,27,233,89,140
1,4,41,46,223,207,200,76,120
1,4,41,46,223,207,200,76,140
1,4,41,46,223,207,200,89,120
1,4,41,46,223,207,200,89,140
1,4,41,46,223,207,233,76,120
1,4,41,46,223,207,233,76,140
1,4,41,46,223,207,233,89,120
1,4,41,46,223,207,233,89,140
1,4,41,46,250,27,200,76,120
1,4,41,46,250,27,200,76,140
1,4,41,46,250,27,200,89,120
1,4,41,46,250,27,200,89,140
1,4,41,46,250,27,233,76,120
1,4,41,46,250,27,233,76,140
1,4,41,46,250,27,233,89,120
1,4,41,46,250,27,233,89,140
1,4,41,46,250,207,200,76,120
1,4,41,46,250,207,200,76,140
1,4,41,46,250,207,200,89,120
1,4,41,46,250,207,200,89,140
1,4,41,46,250,207,233,76,120
22,4,41,46,250,207,233,76,140
1,4,41,46,250,207,233,89,120
1,4,41,46,250,207,233,89,140
1,4,41,46,250,207,233,188,140
1,4,41,59,223,27,200,76,120
1,4,41,59,223,27,200,76,140
1,4,41,59,223,27,200,89,120
1,4,41,59,223,27,200,89,140
1,4,41,59,223,27,233,76,120
1,4,41,59,223,27,233,76,140
1,4,41,59,223,27,233,89,120
1,4,41,59,223,27,233,89,140
1,4,41,59,223,207,200,76,120
1,4,41,59,223,207,200,76,140
1,4,41,59,223,207,200,89,120
1,4,41,59,223,207,200,89,140
1,4,41,59,223,207,233,76,120
1,4,41,59,223,207,233,76,140
1,4,41,59,223,207,233,89,120
1,4,41,59,223,207,233,89,140
1,4,41,59,250,27,200,76,120
1,4,41,59,250,27,200,76,140
1,4,41,59,250,27,200,89,120
1,4,41,59,250,27,200,89,140
1,4,41,59,250,27,233,76,120
1,4,41,59,250,27,233,76,140
1,4,41,59,250,27,233,89,120
1,4,41,59,250,27,233,89,140
1,4,41,59,250,207,200,76,120
1,4,41,59,250,207,200,76,140
1,4,41,59,250,207,200,89,120
1,4,41,59,250,207,200,89,140
1,4,41,59,250,207,233,76,120
1,4,41,59,250,207,233,76,140
1,4,41,59,250,207,233,89,120
1,4,41,59,250,207,233,89,140
1,4,191,46,223,27,200,76,120
1,4,191,46,223,27,200,76,140
1,4,191,46,223,27,200,89,120
1,4,191,46,223,27,200,89,140
1,4,191,46,223,27,233,76,120
1,4,191,46,223,27,233,76,140
1,4,191,46,223,27,233,89,120
1,4,191,46,223,27,233,89,140
1,4,191,46,223,207,200,76,120
1,4,191,46,223,207,200,76,140
1,4,191,46,223,207,200,89,120
1,4,191,46,223,207,200,89,140
1,4,191,46,223,207,233,76,120
1,4,191,46,223,207,233,76,140
1,4,191,46,223,207,233,89,120
1,4,191,46,223,207,233,89,140
1,4,191,46,250,27,200,76,120
1,4,191,46,250,27,200,76,140
1,4,191,46,250,27,200,89,120
1,4,191,46,250,27,200,89,140
1,4,191,46,250,27,233,76,120
1,4,191,46,250,27,233,76,140
1,4,191,46,250,27,233,89,120
1,4,191,46,250,27,233,89,140
1,4,191,46,250,207,200,76,120
1,4,191,46,250,207,200,76,140
1,4,191,46,250,207,200,89,120
1,4,191,46,250,207,200,89,140
1,4,191,46,250,207,233,76,120
1,4,191,46,250,207,233,76,140
1,4,191,46,250,207,233,89,120
1,4,191,46,250,207,233,89,140
1,4,191,59,223,27,200,76,120
1,4,191,59,223,27,200,76,140
1,4,191,59,223,27,200,89,120
1,4,191,59,223,27,200,89,140
1,4,191,59,223,27,233,76,120
1,4,191,59,223,27,233,76,140
1,4,191,59,223,27,233,89,120
1,4,191,59,223,27,233,89,140
1,4,191,59,223,207,200,76,120
1,4,191,59,223,207,200,76,140
