accession,H7,H10
>MK327718,0.9950611476952024,1.0
>MK327694,0.9962370649106302,1.0
>MK327702,0.9950611476952024,1.0
>MK326656,0.9950611476952024,1.0
>MK327734,0.9950611476952024,1.0
>MK327726,0.9950611476952024,1.0
>MK327686,0.9950611476952024,1.0
>MK327758,0.9950553331763596,1.0
>KY644423,0.9997642065550576,1.0
>KJ195668,0.9999999999999999,1.0
>KY644472,1.0,0.9964788732394366
>KX960412,1.0,0.9969483568075116
>KX960458,1.0,0.994607268464244
>KY644351,1.0,0.9969519343493554
>KX960451,1.0,0.9957796014067996
>KY644236,1.0,0.9953106682297773
>KY644232,0.9922571562646646,1.0
>KY673155,1.0,0.9971817754814467
>KY644258,0.9922571562646646,1.0
>MN431050,1.0,0.9995278564683664
