accession,H16,H13
>MH498778,1.0,0.7603468663776113
>MF682848,1.0,0.8189786585365852
>KX979327,1.0,0.8003824091778202
>KX978913,1.0,0.8031854379977249
>KX979541,1.0,0.7974971558589308
>KX978076,1.0,0.8046282245827011
>KX978980,1.0,0.8110687022900763
>KX979063,1.0,0.8003824091778202
>KX978876,1.0,0.8011472275334609
>KX979544,1.0,0.8046282245827011
>KX979380,1.0,0.8042569365260357
>MF682844,1.0,0.8022103658536585
>KX978929,1.0,0.8003824091778202
>MF575207,1.0,0.8072936660268717
>KR087564,1.0,0.8517946738710923
>MF147289,1.0,0.8107074569789676
>MF147869,1.0,0.8087222647283854
>CY185569,1.0,0.8734615384615384
>CY185489,1.0,0.8608831574833917
>MF461180,1.0,0.8241379310344827
