accession,N7,N9,N8,N6
>CY076167,0.966093117408907,1.0,0.36133603238866396,0.9127024291497976
>CY097680,0.9681737812578934,1.0,0.3576660772922455,0.9113412477898459
>KY013750,0.96033350176857,1.0,0.36558868115209703,0.9092976250631634
>KY063862,0.9381418092909535,1.0,0.38361858190709053,0.8973105134474328
>MK071350,0.8359979370809697,0.37184115523465705,1.0,0.76250644662197
>CY076015,0.9714357937310414,1.0,0.3660262891809909,0.9148129423660263
>CY005548,0.7877136487490712,0.3864255635372802,1.0,0.7183552142680207
>AB292786,0.8030729833546737,0.35979513444302186,1.0,0.727784891165173
>CY014620,0.7955732404874409,0.39268838597363837,1.0,0.7222084058691867
>AB292782,0.8113402061855668,0.36340206185567003,1.0,0.7306701030927835
>EU871830,0.9779467680608366,1.0,0.3414448669201521,0.9105196451204056
>EU743137,0.8185089974293059,0.3593830334190232,1.0,0.731362467866324
>CY097704,0.9654998740871316,1.0,0.3585998489045581,0.9085872576177286
>CY097712,0.96672548525334,1.0,0.3584572724981093,0.90773884547517
>CY097720,0.96672548525334,1.0,0.3584572724981093,0.90773884547517
>CY097728,0.9654998740871316,1.0,0.3598589775875094,0.9090909090909091
>MK424190,0.8838197789742135,0.8061773873618588,1.0,0.4805894020969113
>MK424193,0.8838197789742135,0.8061773873618588,1.0,0.4805894020969113
>MK424195,0.8838197789742135,0.8061773873618588,1.0,0.4805894020969113
>MK424200,0.8825693265421618,0.8036219581211093,1.0,0.4796264855687606
