serotype,,N1,N1,N1,N1,N1,N3,N3,N3,N3,N3,error
accession,,>CY241554,>CY132003,>MH503007,>CY133879,>CY136281,>KU289905,>FJ686772,>CY079478,>CY136013,>KP285479,>MK237837
serotype,accession,,,,,,,,,,,
N1,>CY241554,0.0,0.07687210072895956,0.015904572564612307,0.04108681245858181,0.08349900596421467,0.4837640821736249,0.4724983432736912,0.47316103379721675,0.4777998674618953,0.48575215374420144,0.028495692511597115
N1,>CY132003,0.07687210072895956,0.0,0.07952286282306165,0.07952286282306165,0.08151093439363821,0.48310139165009935,0.4758117958913187,0.47647448641484424,0.4804506295559974,0.47713717693836977,0.09476474486414843
N1,>MH503007,0.015904572564612307,0.07952286282306165,0.0,0.045062955599734944,0.08482438701126571,0.4870775347912525,0.47316103379721675,0.47647448641484424,0.4811133200795229,0.48310139165009935,0.032471835652750136
N1,>CY133879,0.04108681245858181,0.07952286282306165,0.045062955599734944,0.0,0.08614976805831676,0.48641484426772696,0.47647448641484424,0.4758117958913187,0.47912524850894633,0.48310139165009935,0.05632869449966871
N1,>CY136281,0.08349900596421467,0.08151093439363821,0.08482438701126571,0.08614976805831676,0.0,0.48641484426772696,0.4777998674618953,0.47978793903247186,0.48310139165009935,0.47912524850894633,0.09741550695825052
N3,>KU289905,0.4837640821736249,0.48310139165009935,0.4870775347912525,0.48641484426772696,0.48641484426772696,0.0,0.052352551358515576,0.015241882041086785,0.02319416832339294,0.15109343936381714,0.4850894632206759
N3,>FJ686772,0.4724983432736912,0.4758117958913187,0.47316103379721675,0.47647448641484424,0.4777998674618953,0.052352551358515576,0.0,0.042412193505632856,0.04638833664678599,0.14844267726971505,0.48840291583830353
N3,>CY079478,0.47316103379721675,0.47647448641484424,0.47647448641484424,0.4758117958913187,0.47978793903247186,0.015241882041086785,0.042412193505632856,0.0,0.00994035785288272,0.14314115308151099,0.4903909874088801
N3,>CY136013,0.4777998674618953,0.4804506295559974,0.4811133200795229,0.47912524850894633,0.48310139165009935,0.02319416832339294,0.04638833664678599,0.00994035785288272,0.0,0.1438038436050364,0.49502982107355864
N3,>KP285479,0.48575215374420144,0.47713717693836977,0.48310139165009935,0.48310139165009935,0.47912524850894633,0.15109343936381714,0.14844267726971505,0.14314115308151099,0.1438038436050364,0.0,0.5029821073558648
error,>MK237837,0.028495692511597115,0.09476474486414843,0.032471835652750136,0.05632869449966871,0.09741550695825052,0.4850894632206759,0.48840291583830353,0.4903909874088801,0.49502982107355864,0.5029821073558648,0.0
