accession,segment,cluster,H,centroid,N,strain
>J02176,4,82,H1,False,N1,A/WSN/1933
>CY021709,4,82,H1,False,N1,A/AA/Huston/1945
>CY020285,4,82,H1,False,N1,A/AA/Marton/1943
>CY083910,4,184,H1,False,N1,A/Aalborg/INS132/2009
>CY063606,4,184,H1,False,N1,A/Aalborg/INS133/2009
>CY073725,4,184,H1,False,N1,A/Aalborg/INS283/2009
>CY062691,4,184,H1,False,N1,A/Aarhus/INS116/2009
>CY062699,4,184,H1,False,N1,A/Aarhus/INS118/2009
>CY066935,4,184,H1,False,N1,A/Aarhus/INS236/2009
>CY066943,4,184,H1,False,N1,A/Aarhus/INS237/2009
>CY066951,4,184,H1,False,N1,A/Aarhus/INS238/2009
>CY066959,4,184,H1,False,N1,A/Aarhus/INS240/2009
>CY066967,4,184,H1,False,N1,A/Aarhus/INS241/2009
>CY066975,4,184,H1,False,N1,A/Aarhus/INS242/2009
>CY067031,4,184,H1,False,N1,A/Aarhus/INS251/2009
>CY067039,4,184,H1,False,N1,A/Aarhus/INS252/2009
>CY067047,4,184,H1,False,N1,A/Aarhus/INS253/2009
>CY067055,4,184,H1,False,N1,A/Aarhus/INS254/2009
>CY176570,4,215,H1,False,N1,A/Aarhus/INS3_653/2011
>CY176578,4,215,H1,False,N1,A/Aarhus/INS3_654/2011
