serotype,,N1,N1,N1,N1,N1,N3,N3,N3,N3,N3,error
accession,,>MH341808,>MK627596,>MN783501,>KY284475,>KX351727,>CY146434,>MG280118,>FJ686748,>MF147815,>CY178304,>MK237837
serotype,accession,,,,,,,,,,,
N1,>MH341808,0.0,0.04828042328042326,0.02447089947089942,0.02447089947089942,0.045634920634920584,0.4742063492063492,0.4755291005291006,0.47023809523809523,0.48677248677248675,0.4715608465608465,0.029761904761904767
N1,>MK627596,0.04828042328042326,0.0,0.054894179894179884,0.04298941798941802,0.06150793650793651,0.4735449735449735,0.4728835978835979,0.46825396825396826,0.48809523809523814,0.46825396825396826,0.06283068783068779
N1,>MN783501,0.02447089947089942,0.054894179894179884,0.0,0.031746031746031744,0.05092592592592593,0.4755291005291006,0.47685185185185186,0.4728835978835979,0.4894179894179894,0.4742063492063492,0.037698412698412676
N1,>KY284475,0.02447089947089942,0.04298941798941802,0.031746031746031744,0.0,0.05291005291005291,0.47685185185185186,0.4801587301587301,0.4728835978835979,0.49404761904761907,0.4728835978835979,0.03373015873015872
N1,>KX351727,0.045634920634920584,0.06150793650793651,0.05092592592592593,0.05291005291005291,0.0,0.4894179894179894,0.4933862433862434,0.4894179894179894,0.4735449735449735,0.48809523809523814,0.03240740740740744
N3,>CY146434,0.4742063492063492,0.4735449735449735,0.4755291005291006,0.47685185185185186,0.4894179894179894,0.0,0.060846560846560815,0.04166666666666663,0.15542328042328046,0.059523809523809534,0.4900793650793651
N3,>MG280118,0.4755291005291006,0.4728835978835979,0.47685185185185186,0.4801587301587301,0.4933862433862434,0.060846560846560815,0.0,0.06150793650793651,0.1521164021164021,0.06812169312169314,0.4914021164021164
N3,>FJ686748,0.47023809523809523,0.46825396825396826,0.4728835978835979,0.4728835978835979,0.4894179894179894,0.04166666666666663,0.06150793650793651,0.0,0.15410052910052907,0.04828042328042326,0.48611111111111116
N3,>MF147815,0.48677248677248675,0.48809523809523814,0.4894179894179894,0.49404761904761907,0.4735449735449735,0.15542328042328046,0.1521164021164021,0.15410052910052907,0.0,0.14814814814814814,0.47883597883597884
N3,>CY178304,0.4715608465608465,0.46825396825396826,0.4742063492063492,0.4728835978835979,0.48809523809523814,0.059523809523809534,0.06812169312169314,0.04828042328042326,0.14814814814814814,0.0,0.48478835978835977
error,>MK237837,0.029761904761904767,0.06283068783068779,0.037698412698412676,0.03373015873015872,0.03240740740740744,0.4900793650793651,0.4914021164021164,0.48611111111111116,0.47883597883597884,0.48478835978835977,0.0
