accession,H7,H10
>MK327718,0.9950611476952024,1.0
>MK327694,0.9962370649106302,1.0
>MK327702,0.9950611476952024,1.0
>MK326656,0.9950611476952024,1.0
>MK327734,0.9950611476952024,1.0
>MK327726,0.9950611476952024,1.0
>MK327686,0.9950611476952024,1.0
>MK327758,0.9950553331763596,1.0
>KY644423,0.9997642065550576,1.0
>KJ195668,0.9999999999999999,1.0
>KY644472,1.0,0.9964788732394366
>KX960412,1.0,0.9969483568075116
>KX960458,1.0,0.994607268464244
>KY644351,1.0,0.9969519343493554
>KX960451,1.0,0.9957796014067996
>KY644236,1.0,0.9953106682297773
>KY644232,0.9922571562646646,1.0
>KY673155,1.0,0.9971817754814467
>KY644258,0.9922571562646646,1.0
>MN431050,1.0,0.9995278564683664
>KX024583,1.0,0.9898560981363531
>KY635719,0.7802263251935676,1.0
>KY635680,0.7832835820895522,1.0
>KX602668,1.0,0.983026874115983
>CY133553,1.0,0.9901036757775684
>JN696316,1.0,0.9983591186122834
>MF145850,0.7628040057224608,1.0
>MF147992,0.7625714285714286,1.0
>MF146641,0.7625714285714286,1.0
>MF147328,0.7625714285714286,1.0
>MF145790,0.7653295128939829,1.0
>MF145787,0.7653295128939829,1.0
>CY130094,1.0,0.9796061884669478
>AB289335,1.0,0.9814858214202016
>CY133266,1.0,0.9910356216088698
>CY146897,1.0,0.9938519744620478
>MK928228,0.9892221180880976,1.0
>CY167267,1.0,0.9902912621359222
>CY133381,1.0,0.991469194312796
>MG280044,1.0,0.9908256880733947
>CY130102,0.7386627906976743,1.0
>MK071380,1.0,0.49195544554455445
>MK071396,1.0,0.49476600985221675
>CY006033,0.7338008415147265,1.0
>CY098540,0.7993331312518946,1.0
>CY185887,0.7386627906976743,1.0
>CY006034,0.7341736694677872,1.0
>CY006010,0.7338008415147265,1.0
>MH498655,1.0,0.5148423005565863
>MH498733,1.0,0.5148423005565863
>MH498637,1.0,0.5163782447466008
