accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
>CY021716,0.0016315196,0.0035842247,0.0006573871,-0.001996514,0.0039021955,0.0076565915,0.00083075056,5.31734e-05,-0.0011362071,-3.7240727e-05,0.0003279779,0.0013531089,-0.0011240768,-0.0009853512,-0.0005031002,0.0025072542,-0.00084633485,-0.001020299,-0.00016047718,-0.0014215481,0.0015015766,0.00019430443,-0.00021267479,-0.0009639421,-0.0013695288,0.0007317522,-0.0015878235,-0.00064444327,0.003581506,-0.0006494395
>CY020292,0.0010806135,0.0033219836,0.00043300085,-0.001965867,0.0034671023,0.0074196127,0.000805035,-6.512897e-05,-0.0008930671,0.00016457302,0.00012221589,0.00181483,-0.00077478687,-0.0010986531,-0.000121093304,0.0030579304,-0.0008342798,-0.0012087746,-0.00046100523,-0.0014637398,0.0014748679,-4.0973297e-05,9.5689675e-06,-0.0012830166,-0.0010131568,0.00042524564,-0.0018548631,-0.00021591321,0.0035315924,-0.00044348222
>CY083917,-0.011548356,-0.0067523425,-0.0011804017,0.00081297033,-0.0006244309,-0.0003444926,0.0052453494,0.00044831578,-0.0007774255,0.00020451579,0.00016302042,-0.00022831997,-0.00024687583,-0.00016451952,-0.00015186706,9.155787e-05,-0.0001667203,-0.0003354848,3.0703108e-05,-8.9052905e-05,4.5595727e-05,5.62627e-05,-5.0668645e-05,-6.2722975e-05,0.00019938652,-0.00033501507,-0.00042837477,-0.00013643457,0.0002474991,0.0003981478
>CY063613,-0.011273914,-0.0066681504,-0.001237614,0.0009132322,-0.000738512,-0.00033473576,0.005486152,0.0004367203,-0.0009003479,0.00014297997,-0.00018527613,-0.00037623823,-3.470647e-05,-3.4382232e-05,8.869041e-06,9.541688e-05,-0.00010608298,-0.0002715874,0.00012653985,-0.00015318544,-0.0002477032,-7.8673635e-05,0.00031143666,4.023931e-05,-0.00011243147,-0.0006981871,-0.0003307198,4.1242924e-06,-4.400961e-05,-0.00015050666
>CY073732,-0.01136202,-0.0067535536,-0.0011738628,0.0009754438,-0.0007272774,-0.0003450174,0.005506387,0.00037404473,-0.00086242484,6.74987e-05,-0.00023456175,-0.00033109673,-2.1345413e-05,-5.076616e-05,-2.4260054e-05,0.00014848339,-0.0001433621,-0.0002644,9.0305795e-05,-0.000107629654,-0.00022247278,-2.3998658e-05,0.0002546874,5.460248e-05,-2.8959199e-05,-0.00053296535,-0.000229228,-1.5384167e-05,-2.9583098e-05,-6.772947e-05
>CY062698,-0.0112537285,-0.006487847,-0.0012871707,0.0008314661,-0.0005374995,7.704063e-05,0.0055730445,0.00046320204,-0.00066843414,0.00016874907,-0.000119729964,-0.00014064639,1.8534296e-05,-9.525556e-05,-1.1694939e-05,0.00010949738,-5.9763042e-05,-9.396263e-05,0.00011652423,7.130803e-05,3.520972e-05,-0.00026843988,0.00019241014,0.00021385611,0.00027781713,-0.0004619908,-7.672746e-05,4.6010973e-05,-1.0361841e-05,-0.00010096277
>CY062706,-0.011406334,-0.006446137,-0.0011760596,0.000900579,-0.00059568166,-6.0306138e-05,0.0055361968,0.0005047324,-0.0007986005,-5.423395e-05,-5.8861373e-05,-0.00023525106,4.858784e-05,-0.00014487194,-1.9584673e-05,0.00018161828,-0.00010866775,-0.00035953644,0.0002481922,-0.00019090221,5.760306e-05,2.6747173e-05,0.00027415567,0.00026680052,1.756314e-05,-0.00047603258,-0.0001455144,0.00017156875,-2.2220807e-05,-7.9086385e-05
>CY066942,-0.0114639755,-0.0066765915,-0.0012006077,0.0008990198,-0.00058347965,-0.00032797677,0.005240145,0.0002283706,-0.0008378901,6.354808e-06,-0.0001322016,-0.0003572689,-6.25573e-05,-0.00020419502,8.312398e-05,0.0001494847,-0.00040107,-0.0002144778,1.8733965e-06,-3.199171e-05,-0.00020169337,-2.6683727e-05,0.00024411986,0.00013324432,0.00013011102,-0.00025720504,-0.00024874057,8.377212e-06,5.2777832e-05,1.1943511e-06
>CY066950,-0.011477313,-0.006861913,-0.0011254887,0.0009802028,-0.00061032956,-0.00024069403,0.005311906,0.00032831833,-0.0008188508,7.02332e-05,1.3740045e-05,-0.00019686055,0.0001121844,-2.5782683e-05,2.1673106e-05,0.00013965699,-0.00018960108,-0.00027873716,-0.00016840764,-2.6954713e-05,-3.6488564e-05,2.7414922e-05,-5.124453e-05,-3.1624048e-05,5.7515e-05,-0.00057793624,-0.00017286245,0.00022043439,-0.0002142407,-4.6886427e-05
>CY066958,-0.011344312,-0.006887214,-0.0012111714,0.00095816463,-0.0006013062,-0.00032483492,0.005661923,0.00045226322,-0.0009059553,-1.4075105e-06,-0.00021610026,-0.0002947453,8.128492e-05,-5.6382105e-05,-2.6205444e-05,0.00016261109,-0.0001224503,-0.0001507832,4.1300642e-05,-0.00019910243,-0.00021406506,-0.00017180991,0.0002542351,9.416791e-05,-3.5982714e-05,-0.0005152075,-0.0002712519,2.0965053e-05,-4.9109156e-05,-0.000108831526
