serotype,,H1,H1,H1,H1,H1,H10,H10,H10,H10,H10,error
accession,,>CY187069,>MK236726,>MK237211,>CY140647,>MN430851,>CY142490,>EU743354,>CY039604,>KP286301,>MH597985,>MK237334
serotype,accession,,,,,,,,,,,
H1,>CY187069,0.0,0.04046563192904651,0.041574279379157475,0.01940133037694014,0.059312638580931276,0.47062084257206205,0.4722838137472284,0.47782705099778267,0.49113082039911304,0.47283813747228376,0.041574279379157475
H1,>MK236726,0.04046563192904651,0.0,0.0022172949002217113,0.03436807095343686,0.05376940133037689,0.4872505543237251,0.48891352549889133,0.4789356984478935,0.5049889135254989,0.4894678492239468,0.013303769401330379
H1,>MK237211,0.041574279379157475,0.0022172949002217113,0.0,0.03436807095343686,0.054878048780487854,0.4878048780487805,0.4894678492239468,0.479490022172949,0.5055432372505544,0.4900221729490022,0.014412416851441234
H1,>CY140647,0.01940133037694014,0.03436807095343686,0.03436807095343686,0.0,0.05266075388026603,0.47283813747228376,0.4745011086474501,0.4789356984478935,0.49057649667405767,0.4750554323725056,0.03547671840354771
H1,>MN430851,0.059312638580931276,0.05376940133037689,0.054878048780487854,0.05266075388026603,0.0,0.4611973392461197,0.4623059866962306,0.47117516629711753,0.4689578713968958,0.4623059866962306,0.054878048780487854
H10,>CY142490,0.47062084257206205,0.4872505543237251,0.4878048780487805,0.47283813747228376,0.4611973392461197,0.0,0.028270509977827096,0.049334811529933464,0.18458980044345896,0.03880266075388028,0.4866962305986696
H10,>EU743354,0.4722838137472284,0.48891352549889133,0.4894678492239468,0.4745011086474501,0.4623059866962306,0.028270509977827096,0.0,0.04212860310421285,0.1840354767184036,0.029379157427937952,0.4894678492239468
H10,>CY039604,0.47782705099778267,0.4789356984478935,0.479490022172949,0.4789356984478935,0.47117516629711753,0.049334811529933464,0.04212860310421285,0.0,0.2067627494456763,0.057095343680709565,0.479490022172949
H10,>KP286301,0.49113082039911304,0.5049889135254989,0.5055432372505544,0.49057649667405767,0.4689578713968958,0.18458980044345896,0.1840354767184036,0.2067627494456763,0.0,0.18902439024390238,0.503880266075388
H10,>MH597985,0.47283813747228376,0.4894678492239468,0.4900221729490022,0.4750554323725056,0.4623059866962306,0.03880266075388028,0.029379157427937952,0.057095343680709565,0.18902439024390238,0.0,0.4900221729490022
error,>MK237334,0.041574279379157475,0.013303769401330379,0.014412416851441234,0.03547671840354771,0.054878048780487854,0.4866962305986696,0.4894678492239468,0.479490022172949,0.503880266075388,0.4900221729490022,0.0
