accession,H16,H13
>MH498778,1.0,0.7587301587301588
>MF682848,1.0,0.8198614318706697
>KX979327,1.0,0.7978478093774021
>KX978913,1.0,0.805065234075211
>KX979541,1.0,0.7986963190184049
>KX978076,1.0,0.8038167938931298
>KX978980,1.0,0.8105506353484789
>KX979063,1.0,0.7978478093774021
>KX978876,1.0,0.7980769230769232
>KX979544,1.0,0.8038167938931298
>KX979380,1.0,0.8034416826003822
>MF682844,1.0,0.7988505747126439
>KX978929,1.0,0.7978478093774021
>MF575207,1.0,0.8032345013477089
>KR087564,1.0,0.8407692307692308
>MF147289,1.0,0.8101851851851852
>MF147869,1.0,0.8078703703703703
>CY185569,1.0,0.8710801393728222
>CY185489,1.0,0.8420038535645472
>MF461180,1.0,0.8249419054996125
>MH201562,1.0,0.825086306098964
>MH499037,1.0,0.7629513343799058
>LC339627,1.0,0.8340874811463046
>AB284988,1.0,0.840288315629742
>AB285094,1.0,0.8432577794852093
>MK696134,1.0,0.7449485322150211
>MH499238,1.0,0.7611881188118813
>MH596987,1.0,0.7201565557729941
>KR010435,1.0,0.8716087122659535
>MN210139,1.0,0.8577981651376149
>CY196611,1.0,0.8474195961106956
>CY213636,1.0,0.7473435655253835
>CY213535,1.0,0.7473309608540927
>CY213663,1.0,0.7496038034865293
>MN210163,1.0,0.8605805958747134
>MN210171,1.0,0.8606431852986217
>MN210179,1.0,0.8583460949464014
>MN210195,1.0,0.8611217092712705
>MN210203,1.0,0.8611217092712705
>MN210211,1.0,0.8611217092712705
>MN210220,1.0,0.8611217092712705
>MN210228,1.0,0.8611217092712705
>MN210236,1.0,0.8604651162790696
>MN210252,1.0,0.8606775789874384
>CY130340,1.0,0.8372615039281706
>CY130086,1.0,0.7887914601601222
>AB292664,1.0,0.7900677200902934
>CY014694,1.0,0.7605633802816902
>D90308,1.0,0.8126180581790706
>CY195663,1.0,0.7492307692307695
>KF612959,1.0,0.8116490166414523
>MK637080,1.0,0.7394285714285714
>MH499142,1.0,0.759778743579613
>MH499186,1.0,0.7640141121128968
>MH498919,1.0,0.7615868028279656
>MH499244,1.0,0.7620540964327716
>MH498862,1.0,0.7606466876971608
>MH498888,1.0,0.7611176702085791
>MH498698,1.0,0.769140164899882
>MH579147,1.0,0.7480468749999999
>MK637221,1.0,0.7399239543726236
>MK637291,1.0,0.7394285714285714
>MK637376,1.0,0.7419847328244277
>MK637356,1.0,0.7394285714285714
>MK637038,1.0,0.7399239543726236
>MK637365,1.0,0.7404174573055027
>MK637396,1.0,0.7394285714285714
>MK637116,1.0,0.7389312977099237
>MK345840,1.0,0.738808875048657
>MH068359,1.0,0.7313201703445609
>MH068367,1.0,0.7239784117193524
>CY128958,1.0,0.7363851617995264
>KJ907711,1.0,0.8600000000000001
>GQ907310,1.0,0.8397558183899274
>GQ907318,1.0,0.8437978560490046
>MN783529,1.0,0.7420233463035018
>MK627734,1.0,0.7467760844079718
>CY195647,1.0,0.7386407766990293
>MH764160,1.0,0.7343993759750388
>MH764168,1.0,0.7314241486068114
>MH764229,1.0,0.7311577311577311
>MH764245,1.0,0.7372319688109162
>MH764253,1.0,0.7407551576488904
>CY145939,1.0,0.7318897637795274
>MH501657,1.0,0.7405696689761353
>MH502664,1.0,0.7342657342657342
>MH579323,1.0,0.7371252882398156
>MH499147,1.0,0.7662745098039215
>KJ372720,1.0,0.619636644762273
>CY185497,1.0,0.8523644752018454
>CY185601,1.0,0.8449056603773583
>CY185609,1.0,0.8390761075350248
>CY185673,1.0,0.8492520138089757
>CY185665,1.0,0.8492520138089757
