serotype,,H1,H1,H1,H1,H1,H10,H10,H10,H10,H10,error
accession,,>CY129406,>CY190075,>CY076141,>CY137658,>KY583840,>KY561267,>MH502017,>MK237914,>KP287950,>CY145144,>MK237334
serotype,accession,,,,,,,,,,,
H1,>CY129406,0.0,0.01001669449081799,0.027267668336115714,0.016138007790762354,0.0623260990539789,0.47468002225932104,0.4652198107957707,0.4652198107957707,0.48803561491374514,0.4674457429048414,0.05286588759042854
H1,>CY190075,0.01001669449081799,0.0,0.029493600445186452,0.017250973845297723,0.07011686143572626,0.4791318864774624,0.4691151919866444,0.4691151919866444,0.48970506399554814,0.4691151919866444,0.0539788536449638
H1,>CY076141,0.027267668336115714,0.029493600445186452,0.0,0.028937117417918712,0.048414023372287174,0.4802448525319978,0.4724540901502504,0.4707846410684474,0.49471341124095713,0.4724540901502504,0.035614913745130816
H1,>CY137658,0.016138007790762354,0.017250973845297723,0.028937117417918712,0.0,0.0673344462993879,0.4791318864774624,0.46967167501391205,0.4702281580411798,0.4941569282136895,0.46967167501391205,0.05008347245409017
H1,>KY583840,0.0623260990539789,0.07011686143572626,0.048414023372287174,0.0673344462993879,0.0,0.4552031163049527,0.4618809126321647,0.4602114635503617,0.46633277685030605,0.4624373956594324,0.047857540345019434
H10,>KY561267,0.47468002225932104,0.4791318864774624,0.4802448525319978,0.4791318864774624,0.4552031163049527,0.0,0.07456872565386752,0.09070673344462998,0.1958820255982192,0.06956037840845852,0.49137451307735114
H10,>MH502017,0.4652198107957707,0.4691151919866444,0.4724540901502504,0.46967167501391205,0.4618809126321647,0.07456872565386752,0.0,0.04396215915414581,0.19254312743461321,0.04062326099053981,0.48469671675013914
H10,>MK237914,0.4652198107957707,0.4691151919866444,0.4707846410684474,0.4702281580411798,0.4602114635503617,0.09070673344462998,0.04396215915414581,0.0,0.19254312743461321,0.058430717863105164,0.48302726766833615
H10,>KP287950,0.48803561491374514,0.48970506399554814,0.49471341124095713,0.4941569282136895,0.46633277685030605,0.1958820255982192,0.19254312743461321,0.19254312743461321,0.0,0.19254312743461321,0.5063995548135782
H10,>CY145144,0.4674457429048414,0.4691151919866444,0.4724540901502504,0.46967167501391205,0.4624373956594324,0.06956037840845852,0.04062326099053981,0.058430717863105164,0.19254312743461321,0.0,0.4869226488592098
error,>MK237334,0.05286588759042854,0.0539788536449638,0.035614913745130816,0.05008347245409017,0.047857540345019434,0.49137451307735114,0.48469671675013914,0.48302726766833615,0.5063995548135782,0.4869226488592098,0.0
