accession,H9,
>CY125733,0.12267379679144386,0.46855614973262033
>KP286620,0.08652406417112299,0.47208556149732617
>KP286635,0.08673796791443851,0.4728342245989305
>CY206227,0.12267379679144386,0.46748663101604276
>MG042357,0.16727272727272724,0.4840641711229946
>MG957616,0.16951871657754009,0.4851336898395722
>MG957513,0.1679144385026738,0.4850267379679144
>MG957519,0.16545454545454547,0.48481283422459887
>MH791733,0.15967914438502676,0.48203208556149735
>MN209446,0.1639572192513369,0.4817112299465241
>MN209378,0.16427807486631016,0.48213903743315506
>KP416339,0.08609625668449201,0.4722994652406417
>KP416375,0.08598930481283422,0.4724064171122995
>KP416404,0.08609625668449201,0.4722994652406417
>KP415847,0.08609625668449201,0.4727272727272728
>KP416464,0.08780748663101608,0.4722994652406417
>KP415453,0.09090909090909091,0.4716577540106952
>KP286584,0.08812834224598928,0.4710160427807487
>KP414685,0.08149732620320856,0.47219251336898405
>KP415520,0.08684491978609625,0.47272727272727266
