accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
>CY021716,0.33540082,0.18886474,0.2194616,0.13361934,0.19286782,0.16768928,0.1353528,0.183796,0.26742187,0.17762016,0.17970774,0.16745745,0.17172432,0.20122437,0.17460223,0.17771967,0.16624717,0.15641671,-0.08403671,0.18065198,0.2028759,0.1374223,0.17563641,0.16946572,0.13744392,0.179234,0.18730699,0.14681439,0.17712407,0.1500337
>CY020292,0.33538237,0.1887014,0.2193744,0.13369104,0.19290696,0.16770567,0.13538396,0.18379761,0.26742315,0.17774066,0.17965846,0.16748871,0.17168806,0.20111461,0.17463711,0.17780945,0.16620521,0.15645264,-0.08421033,0.18057811,0.20282607,0.13743454,0.17562388,0.16948536,0.13760518,0.17925191,0.18719712,0.14690737,0.1770691,0.15015663
>CY083917,0.26687416,0.052630704,0.20964624,0.26580197,0.18188016,0.08924188,0.13644826,0.16777416,0.15815239,0.15041135,0.34199557,0.17529137,0.15724082,0.15000454,0.13451147,0.15883115,0.17043047,0.17104608,0.15088466,0.15449218,0.14566526,0.17838073,0.1451262,0.3100886,0.13316138,0.14801385,0.13576445,0.1697178,0.19559343,0.19339013
>CY063613,0.21423468,-0.10861638,0.08678313,0.28380817,0.11178462,0.007237831,0.05301021,0.10846981,0.1420296,0.21791421,0.38028103,0.11741744,0.19490978,0.02116437,0.10364546,0.0144980205,0.15606333,0.087022744,0.12689547,0.09071824,0.06654269,0.2549892,0.047320656,0.50668705,0.064412005,0.17671518,0.12169336,0.19694148,0.24188466,0.13961995
>CY073732,0.21398425,-0.10932263,0.08598966,0.28493783,0.111638024,0.006532025,0.05242753,0.10769248,0.14235954,0.21818237,0.38024125,0.11609628,0.19432904,0.021135122,0.1035762,0.012159816,0.15554455,0.08661492,0.12738632,0.090625145,0.06546501,0.25410005,0.045500997,0.50774115,0.06409405,0.17658103,0.120225765,0.19674034,0.24306853,0.13933055
>CY062698,0.24609968,-0.0808474,0.15475614,0.27729306,0.15864904,0.10444104,0.14296155,0.14889605,0.17314292,0.21906619,0.35202074,0.22411959,0.16875336,0.10567789,0.086693935,0.065269016,0.16534366,0.12037404,0.069355965,0.12936525,0.02779449,0.21021262,0.12794654,0.3717084,0.07786435,0.20413335,0.08829552,0.19608606,0.27869895,0.1237279
>CY062706,0.3172571,-0.0046552573,0.16622303,0.21770531,0.19135493,0.1360964,0.14018935,0.15839931,0.14473233,0.21029122,0.31128493,0.20886594,0.17912637,0.16352193,0.13431439,0.121474735,0.16843432,0.15543845,0.087054044,0.15218872,0.10389695,0.17858106,0.12588182,0.27918336,0.11538826,0.1788517,0.16052726,0.21520565,0.24461865,0.17358965
>CY066942,0.21277572,-0.11214814,0.083605096,0.28746322,0.111542925,0.0048888014,0.049912404,0.10533567,0.14342536,0.21879312,0.3798551,0.11167048,0.19269092,0.0207888,0.10333799,0.0050535533,0.15439415,0.085772045,0.12858249,0.090545304,0.06287911,0.25149533,0.039741885,0.5112372,0.06278383,0.17595644,0.11681756,0.1959656,0.2465425,0.13855192
>CY066950,0.21310808,-0.11149104,0.08383153,0.28717563,0.111424945,0.0049800617,0.05021803,0.1058299,0.14329624,0.21851954,0.37968093,0.11224049,0.19339652,0.021122022,0.10356283,0.00595333,0.15435705,0.085652895,0.12838487,0.09018189,0.06286968,0.25167626,0.040487535,0.511165,0.06319173,0.1763143,0.11683377,0.19613929,0.24591465,0.13845783
>CY066958,0.21330309,-0.1110815,0.083742484,0.28567907,0.111946955,0.005889857,0.049434084,0.105690435,0.1414181,0.2178893,0.3795997,0.11202556,0.19419034,0.020380486,0.10300122,0.008539111,0.15536107,0.08720324,0.12697554,0.090435386,0.065276735,0.25253657,0.04129905,0.51154673,0.062433116,0.17618981,0.119032264,0.19755886,0.24437387,0.1382272
