accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
>CY021716,0.1419291,0.31179875,0.057187393,-0.17368066,0.33945966,0.66606194,0.07226863,0.0046256585,-0.09884089,-0.003239644,0.028531443,0.1177096,-0.097785644,-0.08571763,-0.043765675,0.21811098,-0.073624335,-0.08875782,-0.0139602255,-0.12366326,0.1306251,0.016902924,-0.018500997,-0.08385522,-0.119138,0.06365656,-0.1381279,-0.056061387,0.31156224,-0.05649602
>CY020292,0.096659206,0.2971463,0.038731255,-0.17584375,0.31012693,0.66367286,0.07200914,-0.0058256853,-0.07988347,0.014720802,0.010932023,0.16233374,-0.06930349,-0.098272815,-0.010831608,0.27352715,-0.07462504,-0.10812302,-0.041236203,-0.13092926,0.13192466,-0.003664998,0.00085592933,-0.114763856,-0.09062531,0.038037565,-0.16591464,-0.019313103,0.31589547,-0.0396688
>CY083917,-0.7953696,-0.4650539,-0.08129777,0.055991683,-0.043006413,-0.02372623,0.3612628,0.03087684,-0.053543605,0.01408561,0.011227701,-0.015725074,-0.017003072,-0.011330948,-0.010459536,0.0063058627,-0.011482523,-0.023105836,0.0021146142,-0.006133338,0.0031403133,0.0038749792,-0.0034897001,-0.004319918,0.013732342,-0.023073483,-0.029503444,-0.009396654,0.017045997,0.027421622
>CY063613,-0.7839315,-0.46366975,-0.08605747,0.06350159,-0.051352423,-0.023275847,0.38147953,0.03036734,-0.06260568,0.009942111,-0.012883173,-0.026161721,-0.002413314,-0.0023907681,0.00061670865,0.0066348114,-0.007376479,-0.018884826,0.008798947,-0.010651748,-0.017224038,-0.00547057,0.021655744,0.00279804,-0.007817921,-0.04854843,-0.022996597,0.00028678263,-0.0030602075,-0.0104654785
>CY073732,-0.7847015,-0.46642444,-0.081071146,0.06736762,-0.050228365,-0.02382813,0.38029066,0.02583286,-0.059562128,0.0046617007,-0.016199669,-0.022866718,-0.0014741902,-0.0035060917,-0.0016754856,0.010254791,-0.009901096,-0.018260404,0.0062368396,-0.007433287,-0.015364761,-0.0016574328,0.017589618,0.0037710413,-0.0020000252,-0.036808483,-0.015831301,-0.0010624853,-0.002043114,-0.004677638
>CY062698,-0.7885336,-0.4545947,-0.09019032,0.058259714,-0.037661865,0.005398134,0.39049575,0.032455944,-0.046836283,0.011824021,-0.008389317,-0.009854903,0.0012986732,-0.006674429,-0.0008194486,0.007672334,-0.004187516,-0.0065838355,0.008164696,0.0049964576,0.0024670977,-0.018809222,0.01348192,0.0149846105,0.019466273,-0.032371074,-0.00537619,0.003223927,-0.0007260403,-0.0070743253
>CY062706,-0.7936697,-0.44853184,-0.08183198,0.06266363,-0.041448418,-0.0041961907,0.38521683,0.035120033,-0.055567812,-0.003773679,-0.004095662,-0.01636912,0.0033808143,-0.0100804055,-0.0013627307,0.012637271,-0.007561264,-0.02501708,0.017269583,-0.01328326,0.004008107,0.0018611081,0.01907616,0.018564377,0.0012220694,-0.033123057,-0.010125108,0.011938009,-0.0015461568,-0.0055029485
>CY066942,-0.7956393,-0.4633784,-0.0833263,0.062395066,-0.040495493,-0.022762716,0.3636841,0.015849704,-0.058152452,0.00044104553,-0.009175246,-0.02479569,-0.0043416917,-0.014171836,0.00576909,0.010374752,-0.027835635,-0.014885496,0.00013002015,-0.0022203345,-0.013998213,-0.0018519424,0.016942758,0.009247614,0.009030152,-0.017850915,-0.017263452,0.0005814073,0.003662963,8.289207e-05
>CY066950,-0.7898378,-0.4722184,-0.0774531,0.06745492,-0.04200124,-0.016563917,0.36555108,0.022593984,-0.05635111,0.00483326,0.0009455529,-0.013547413,0.0077202288,-0.0017742949,0.0014914848,0.009610818,-0.013047836,-0.019181943,-0.01158936,-0.0018549508,-0.0025110447,0.0018866212,-0.0035265107,-0.0021762818,0.003958028,-0.03977202,-0.0118959285,0.015169702,-0.014743469,-0.0032265978
>CY066958,-0.77763665,-0.4721088,-0.0830241,0.06568084,-0.041218694,-0.022266977,0.38811687,0.031002007,-0.062101964,-9.6482865e-05,-0.014813369,-0.020204375,0.005571967,-0.003864914,-0.0017963463,0.0111467615,-0.008393796,-0.010335977,0.002831101,-0.0136481915,-0.014673859,-0.011777327,0.01742746,0.006455078,-0.0024665645,-0.035316747,-0.018593935,0.0014371249,-0.0033663637,-0.007460248
