accession,normalization,neighbors,0,1,cluster,protein
>MH499091,l2,10,0.09435228,0.9955388,47,H13
>GQ907294,l2,10,0.97093236,-0.23935409,215,H16
>GQ907302,l2,10,-0.79495823,-0.6066641,238,H13
>MH498778,l2,10,0.4263895,0.90453964,238,H13
>MH499127,l2,10,0.10466492,0.9945076,47,H13
>MH498752,l2,10,0.093416885,0.99562705,47,H13
>MH499144,l2,10,0.2731014,-0.96198523,47,H13
>MH499019,l2,10,0.094052956,0.9955672,47,H13
>MH498871,l2,10,0.109630756,0.9939724,47,H13
>MH499102,l2,10,0.13806073,0.9904238,47,H13
>MH499225,l2,10,0.13752298,0.9904986,47,H13
>MF682848,l2,10,0.677592,0.73543805,238,H13
>CY138145,l2,10,0.996399,-0.08478827,215,H16
>MF146968,l2,10,-0.78867143,-0.614815,238,H13
>MF682898,l2,10,0.71652675,0.69755965,88,H16
>KX979507,l2,10,-0.9731678,-0.23009674,47,H13
>KX977814,l2,10,-0.8020585,-0.59724534,238,H13
>KX978434,l2,10,0.740814,0.6717103,88,H16
>MF146992,l2,10,-0.6918357,0.7220549,58,H13
>KX979327,l2,10,0.71505773,0.6990654,238,H13
>MF682741,l2,10,0.71604615,0.69805294,88,H16
>MF682695,l2,10,0.68570185,-0.7278825,47,H13
>KX978155,l2,10,-0.80499315,-0.5932841,238,H13
>MF147689,l2,10,-0.95184684,0.30657393,51,H13
>KX977721,l2,10,0.7463183,-0.6655892,47,H13
>KX979051,l2,10,-0.36379427,0.9314793,47,H13
>MF694241,l2,10,0.060248427,-0.99818337,47,H13
>MF147121,l2,10,0.7161136,0.69798374,88,H16
>KX978985,l2,10,-0.19691175,0.98042125,51,H13
>KX978252,l2,10,0.716185,0.6979105,88,H16
>MF145970,l2,10,-0.19966604,0.97986394,51,H13
>KX977943,l2,10,-0.19792001,0.9802182,51,H13
>MF147266,l2,10,-0.20011407,0.9797726,51,H13
>KX979504,l2,10,-0.2019675,0.9793922,51,H13
>KX979468,l2,10,-0.19600809,0.98060226,51,H13
>KX978718,l2,10,-0.19864851,0.9800708,51,H13
>MF146166,l2,10,-0.9506229,-0.31034845,51,H13
>KX978793,l2,10,-0.9506243,-0.31034434,51,H13
>MF147313,l2,10,-0.63845694,-0.7696575,47,H13
>KX979019,l2,10,-0.9735393,-0.22851962,47,H13
>KX977650,l2,10,0.99689525,-0.07873848,215,H16
>MF147513,l2,10,0.74069214,0.6718446,88,H16
>MF148049,l2,10,-0.9517062,0.30701044,51,H13
>KX977664,l2,10,-0.3638042,0.93147546,47,H13
>MF694057,l2,10,0.059686497,-0.9982172,47,H13
>KX978037,l2,10,-0.9506256,-0.3103401,51,H13
>MF145899,l2,10,-0.9506246,-0.31034315,51,H13
>KX978433,l2,10,-0.95062405,-0.31034487,51,H13
>KX979591,l2,10,-0.9506235,-0.31034657,51,H13
>KX978183,l2,10,-0.9504576,0.31085414,51,H13
>KX978539,l2,10,-0.9900708,0.14056902,55,H13
>MF147977,l2,10,-0.69256395,0.7213565,58,H13
>MF147208,l2,10,-0.6843796,0.72912586,58,H13
>MF146078,l2,10,-0.63935566,-0.7689111,47,H13
>MF147927,l2,10,0.9721619,-0.23431027,215,H16
>KX978913,l2,10,0.7041861,0.7100154,238,H13
>MF147771,l2,10,-0.69257045,0.7213502,58,H13
>KX978308,l2,10,-0.67683876,0.7361313,58,H13
